Entrez ID,Gene
8617794,DDB_G0267178
8615783,DDB_G0267180
8615779,DDB_G0267182
8615780,DDB_G0267184
8615781,DDB_G0267186
8615782,DDB_G0267188
8615777,DDB_G0267190
8615784,DDB_G0267194
8615785,DDB_G0267196
8615786,DDB_G0267198
8615788,DDB_G0267202
8615789,DDB_G0267204
8615790,DDB_G0267206
8615791,DDB_G0267208
8615792,DDB_G0267210
8615793,DDB_G0267212
8615795,DDB_G0267216
8615796,DDB_G0267218
8615797,DDB_G0267220
8615798,DDB_G0267222
8615799,DDB_G0267224
8615800,DDB_G0267226
8615801,DDB_G0267228
8615802,DDB_G0267230
8615805,DDB_G0267236
8615806,DDB_G0267238
8615807,DDB_G0267240
8615808,DDB_G0267242
8615810,DDB_G0267244
8615811,DDB_G0267246
8615812,DDB_G0267248
8615813,DDB_G0267250
8615814,DDB_G0267252
8615815,DDB_G0267254
8615816,DDB_G0267258
8615817,DDB_G0267260
8615818,DDB_G0267262
8615809,DDB_G0267264
8615819,DDB_G0267270
8615820,DDB_G0267272
8615821,DDB_G0267274
8615823,DDB_G0267278
8615824,DDB_G0267280
8615825,DDB_G0267282
8615827,DDB_G0267286
8615829,DDB_G0267292
8615830,DDB_G0267294
8615831,DDB_G0267296
8615832,DDB_G0267298
8615833,DDB_G0267300
8615834,DDB_G0267302
8615835,DDB_G0267304
8615836,DDB_G0267306
8615837,DDB_G0267308
8615838,DDB_G0267310
8615840,DDB_G0267314
8615844,DDB_G0267322
8615845,DDB_G0267324
8615846,DDB_G0267326
8615847,DDB_G0267328
8615848,DDB_G0267330
8615849,DDB_G0267332
8615851,DDB_G0267334
8615852,DDB_G0267336
8615850,DDB_G0267338
8615853,DDB_G0267342
8615854,DDB_G0267344
8615855,DDB_G0267346
8615856,DDB_G0267348
8615857,DDB_G0267350
8615858,DDB_G0267352
8615859,DDB_G0267354
8615860,DDB_G0267356
8615861,DDB_G0267358
8615863,DDB_G0267362
8615864,DDB_G0267364
8615865,DDB_G0267366
8615867,DDB_G0267370
8615868,DDB_G0267372
8616445,DDB_G0267374
8616482,DDB_G0267376
8616333,DDB_G0267378
8615966,DDB_G0267380
8616153,DDB_G0267382
8616016,DDB_G0267384
8616308,DDB_G0267386
8615910,DDB_G0267388
8615992,DDB_G0267390
8616309,DDB_G0267392
8616449,DDB_G0267394
8615938,DDB_G0267396
8616428,DDB_G0267398
8616289,DDB_G0267400
8616389,DDB_G0267402
8616484,DDB_G0267404
8616279,DDB_G0267406
8615907,DDB_G0267408
8616427,DDB_G0267410
8616213,DDB_G0267412
8616111,DDB_G0267414
8616158,DDB_G0267416
8616450,DDB_G0267418
8615933,DDB_G0267420
