Gene,Symbol,Synonyms,Description,Other IDs,Type of gene,Chromosome,Map location,Locus tag,Symbol from nomenclature authority,Full name from nomenclature authority,Nomenclature status,Other designations,Species,Taxonomy ID
DDB_G0274105,glgB,"DDBDRAFT_0203268, DDBDRAFT_0214943, DDB_0203268, DDB_0214943","1,4-alpha-glucan branching enzyme",dictyBase: DDB_G0274105,protein-coding,2,,DDB_G0274105,,,,"[""branching enzyme""]",44689,352472
DDB_G0274713,DDB_G0274713,"DDBDRAFT_0203257, DDBDRAFT_0231650, DDB_0203257, DDB_0231650",1-aminocyclopropane-1-carboxylate synthase,dictyBase: DDB_G0274713,protein-coding,2,,DDB_G0274713,,,,"[""ACC synthase"", ""S-adenosyl-L-methionine methylthioadenosine-lyase""]",44689,352472
DDB_G0282467,DDB_G0282467,"DDBDRAFT_0204777, DDBDRAFT_0231654, DDB_0204777, DDB_0231654",1-aminocyclopropane-1-carboxylate synthase,dictyBase: DDB_G0282467,protein-coding,3,,DDB_G0282467,,,,"[""ACC synthase"", ""S-adenosyl-L-methionine methylthioadenosine-lyase""]",44689,352472
DDB_G0279149,pip5k3,"DDBDRAFT_0204692, DDBDRAFT_0204693, DDBDRAFT_0234209, DDB_0204692, DDB_0204693, DDB_0234209",1-phosphatidylinositol-3-phosphate 5-kinase,dictyBase: DDB_G0279149,protein-coding,3,,DDB_G0279149,,,,"[""FYVE finger-containing phosphoinositide kinase"", ""FYVE-type zinc finger-containing protein"", ""PIP kinase""]",44689,352472
DDB_G0286613,DDB_G0286613,"DDBDRAFT_0187042, DDBDRAFT_0232950, DDB_0187042, DDB_0232950",14-3-3 family protein,dictyBase: DDB_G0286613,protein-coding,4,,DDB_G0286613,,,,"[""BRCT domain-containing protein"", ""poly polymerase, catalytic region domain-containing protein"", ""type A von Willebrand factor domain-containing protein"", ""vault protein inter-alpha-trypsin domain-containing protein""]",44689,352472
DDB_G0268396,sep15,"DDBDRAFT_0202189, DDBDRAFT_0302577, DDB_0202189, DDB_0302577",15 kDa selenoprotein,dictyBase: DDB_G0268396,protein-coding,1,,DDB_G0268396,,,,[],44689,352472
DDB_G0292806,cluA,"DDBDRAFT_0191686, DDBDRAFT_0215379, DDB_0191686, DDB_0215379",150 kDa protein,dictyBase: DDB_G0292806,protein-coding,6,,DDB_G0292806,,,,[],44689,352472
DDB_G0286905,pspE,"DDBDRAFT_0187189, DDBDRAFT_0191248, DDB_0187189, DDB_0191248",1I prespore protein,dictyBase: DDB_G0286905,protein-coding,4,,DDB_G0286905,,,,[],44689,352472
DDB_G0268036,DDB_G0268036,"DDBDRAFT_0189732, DDBDRAFT_0230999, DDB_0189732, DDB_0230999","2,3-diketo-5-methylthio-1-phosphopentane enolase",dictyBase: DDB_G0268036,protein-coding,1,,DDB_G0268036,,,,[],44689,352472
DDB_G0286637,DDB_G0286637,"DDBDRAFT_0187063, DDBDRAFT_0231509, DDB_0187063, DDB_0231509",2-dehydropantoate 2-reductase,dictyBase: DDB_G0286637,protein-coding,4,,DDB_G0286637,,,,"[""3-methyl-2-oxobutanoate hydroxymethyltransferase""]",44689,352472
DDB_G0278095,mecr,"DDBDRAFT_0204417, DDBDRAFT_0235198, DDB_0204417, DDB_0235198",2-enoyl thioester reductase,dictyBase: DDB_G0278095,protein-coding,3,,DDB_G0278095,,,,"[""trans-2-enoyl-CoA reductase""]",44689,352472
DDB_G0278053,ilvB,"DDBDRAFT_0204389, DDBDRAFT_0233917, DDB_0204389, DDB_0233917",2-hydroxyphytanoyl-CoA lyase,dictyBase: DDB_G0278053,protein-coding,3,,DDB_G0278053,,,,"[""thiamine pyrophosphate-binding enzyme family protein""]",44689,352472
DDB_G0292104,tkrA,"DDBDRAFT_0184226, DDBDRAFT_0231445, DDB_0184226, DDB_0231445",2-keto-D-gluconate reductase,dictyBase: DDB_G0292104,protein-coding,6,,DDB_G0292104,,,,"[""gluconate 2-dehydrogenase""]",44689,352472
DDB_G0293582,DDB_G0293582,"DDBDRAFT_0192020, DDBDRAFT_0304471, DDB_0192020, DDB_0304471",2-oxoglutarate and Fe-dependent oxygenase family protein,dictyBase: DDB_G0293582,protein-coding,6,,DDB_G0293582,,,,[],44689,352472
