Gene,Symbol,Description
DDB_G0274105,glgB,"1,4-alpha-glucan branching enzyme"
DDB_G0274713,DDB_G0274713,1-aminocyclopropane-1-carboxylate synthase
DDB_G0282467,DDB_G0282467,1-aminocyclopropane-1-carboxylate synthase
DDB_G0279149,pip5k3,1-phosphatidylinositol-3-phosphate 5-kinase
DDB_G0286613,DDB_G0286613,14-3-3 family protein
DDB_G0268396,sep15,15 kDa selenoprotein
DDB_G0292806,cluA,150 kDa protein
DDB_G0286905,pspE,1I prespore protein
DDB_G0268036,DDB_G0268036,"2,3-diketo-5-methylthio-1-phosphopentane enolase"
DDB_G0286637,DDB_G0286637,2-dehydropantoate 2-reductase
DDB_G0278095,mecr,2-enoyl thioester reductase
DDB_G0278053,ilvB,2-hydroxyphytanoyl-CoA lyase
DDB_G0292104,tkrA,2-keto-D-gluconate reductase
DDB_G0293582,DDB_G0293582,2-oxoglutarate and Fe-dependent oxygenase family protein
DDB_G0280353,odhA,2-oxoglutarate dehydrogenase E1 component
DDB_G0275029,odhB,2-oxoglutarate dehydrogenase E2 component
DDB_G0288127,ogdh,"2-oxoglutarate dehydrogenase, E1 subunit"
DDB_G0268214,enoB,2-phospho-D-glycerate hydrolase
DDB_G0283137,enoA,2-phospho-D-glycerate hydrolase
DDB_G0282363,psmA1,20S proteasome subunit C2
DDB_G0267408,psmA3,20S proteasome subunit C8
DDB_G0292122,psmA2,20S proteasome subunit alpha-2
DDB_G0273909,psmB4-2,20S proteasome subunit alpha-4
DDB_G0280969,psmA4,20S proteasome subunit alpha-4
DDB_G0268538,psmA5,20S proteasome subunit alpha-5
DDB_G0278847,psmA6,20S proteasome subunit alpha-6
DDB_G0272831,psmA7,20S proteasome subunit alpha-7
DDB_G0272969,psmB1,20S proteasome subunit beta-1
DDB_G0269472,psmB2,20S proteasome subunit beta-2
DDB_G0269772,psmB3,20S proteasome subunit beta-3
DDB_G0273163,psmB4-1,20S proteasome subunit beta-4
DDB_G0293784,psmB5,20S proteasome subunit beta-5
DDB_G0267390,psmB6,20S proteasome subunit beta-6
DDB_G0283679,psmB7,20S proteasome subunit beta-7
DDB_G0270784,psmC1,26S protease regulatory subunit 4
DDB_G0284415,psmC3,26S protease regulatory subunit 6A
DDB_G0289003,psmC4,26S protease regulatory subunit 6B
DDB_G0276917,psmC2,26S protease regulatory subunit 7
DDB_G0292382,psmC5,26S protease regulatory subunit 8
DDB_G0284517,psmC6,26S protease regulatory subunit S10B
DDB_G0287953,psmD1,26S proteasome non-ATPase regulatory subunit 1
DDB_G0289189,psmD10,26S proteasome non-ATPase regulatory subunit 10
DDB_G0281315,psmD11,26S proteasome non-ATPase regulatory subunit 11
DDB_G0281051,psmD12,26S proteasome non-ATPase regulatory subunit 12
DDB_G0285105,psmD13,26S proteasome non-ATPase regulatory subunit 13
DDB_G0272566,psmD14,26S proteasome non-ATPase regulatory subunit 14
DDB_G0293752,psmD2,26S proteasome non-ATPase regulatory subunit 2
DDB_G0288621,psmD3,26S proteasome non-ATPase regulatory subunit 3
DDB_G0275775,psmD4,26S proteasome non-ATPase regulatory subunit 4
DDB_G0270188,psmD6,26S proteasome non-ATPase regulatory subunit 6
DDB_G0279633,psmD7,26S proteasome non-ATPase regulatory subunit 7
DDB_G0272564,psmD8-1,26S proteasome non-ATPase regulatory subunit 8
DDB_G0273979,psmD8-2,26S proteasome non-ATPase regulatory subunit 8
DDB_G0275753,psmD9,26S proteasome non-ATPase regulatory subunit 9
DDB_G0268652,DDB_G0268652,"3',5'-bisphosphate nucleotidase"
DDB_G0275663,bpnt1,"3',5'-bisphosphate nucleotidase 1"
DDB_G0271572,exosc10,3'-5' exonuclease
DDB_G0293546,mre11,3'-5' exonuclease
DDB_G0267464,polA,3'-5' exonuclease domain-containing protein
DDB_G0278079,exdl2A,3'-5' exonuclease domain-containing protein
DDB_G0278593,exdl2B,3'-5' exonuclease domain-containing protein
DDB_G0282387,DDB_G0282387,3'-5' exonuclease domain-containing protein
DDB_G0279037,coq3,"3,4-dihydroxy-5-hexaprenylbenzoate methyltransferase"
DDB_G0272883,ksrA-1,3-dehydrosphinganine reductase
DDB_G0274015,ksrA-2,3-dehydrosphinganine reductase
DDB_G0282743,haao,"3-hydroxyanthranilate 3,4-dioxygenase"
DDB_G0292566,hibA,3-hydroxyisobutyrate dehydrogenase
DDB_G0267536,hibch,3-hydroxyisobutyryl-Coenzyme A hydrolase
DDB_G0274339,DDB_G0274339,3-ketoacyl-CoA thiolase
DDB_G0268020,bkdB,3-methyl-2-oxobutanoate dehydrogenase
DDB_G0286335,bkdA,3-methyl-2-oxobutanoate dehydrogenase
DDB_G0287377,mccA,3-methylcrotonyl-CoA:carbon dioxide ligase alpha subunit
