"row_IDs","X","b_0","b_1","b_2","b_3","d_0","d_1","d_2","d_3","AveExpr","F","P.Value","adj.P.Val","Regulation"
"DDB_G0267180","DDB_G0267180",1.09236124171577e-05,6.61587888730734e-05,4.23088684388652e-05,2.31714695825243e-05,9.16426180220466e-06,-6.89604175932464e-05,-1.86295478437369e-05,-2.89685777603729e-05,3.13156115908251e-05,2.39822118141378,0.0734839265444926,0.152805583959089,"Upregulated"
"DDB_G0267182","DDB_G0267182",1.4429862595355e-05,7.01762230826925e-05,6.81715202367761e-05,4.34345837767807e-05,9.16567431802868e-06,-7.65157902280202e-05,-1.70975768177073e-05,-5.23212156005941e-05,4.43244230697284e-05,4.4486268908284,0.00644388650292717,0.0282755006112022,"Upregulated"
"DDB_G0267184","DDB_G0267184",9.44782358177659e-06,2.32303168001446e-05,2.54548282675136e-05,7.15253868713973e-06,9.28680546451694e-07,-2.44553453635635e-05,6.94561715639351e-06,-1.30130909599488e-05,2.14459501874283e-05,0.647938143213339,0.632941481322876,0.75524304023139,"Upregulated"
"DDB_G0267186","DDB_G0267186",7.13233817117454e-06,6.38623475995705e-06,3.51944169481256e-05,6.92078471937737e-07,3.36327611642326e-06,-1.32412538644887e-05,-1.09431344624602e-05,-1.80621131080254e-05,1.89740420223346e-05,0.357808820398365,0.836438087722844,0.912124496646577,"Upregulated"
"DDB_G0267188","DDB_G0267188",7.9700152717297e-06,2.26109057404163e-05,2.99987681151315e-05,6.61350487809528e-06,1.97323521793301e-06,-2.37655992083328e-05,1.9156230516921e-05,-6.8267832024633e-06,2.42235498391654e-05,0.871978755917271,0.492806615985662,0.624949343151285,"Downregulated"
"DDB_G0267190","DDB_G0267190",8.04245592278009e-06,6.11074540890734e-06,1.40439327008072e-05,-2.41327950808568e-06,2.34045172110635e-07,-1.00496413612938e-05,-1.74827397983273e-06,2.62319955530212e-06,1.28709559497523e-05,0.285906525260001,0.884667994820247,0.941326671774057,"Upregulated"
"DDB_G0267194","DDB_G0267194",8.48171073603284e-06,2.02249392696447e-05,9.22568924619855e-06,4.06624086155969e-06,1.46739819820652e-06,-3.0653190864092e-05,2.57812621802542e-05,-1.30667019109222e-05,1.75139580938244e-05,1.25715993618767,0.309676100938843,0.438400184397527,"Downregulated"
"DDB_G0267196","DDB_G0267196",6.45936589988502e-06,-3.21357757553973e-07,1.87988457065713e-05,-1.06195263306927e-06,3.67309275857621e-06,-5.24136987185825e-06,7.91790905402995e-06,-2.06720236353548e-06,1.58072304947761e-05,0.701895951497275,0.59712947081994,0.723482202223366,"Downregulated"
"DDB_G0267198","DDB_G0267198",7.55037929062086e-06,9.25283246712321e-06,1.07103905338122e-05,2.47522106348341e-07,7.63577631657785e-07,-9.92225111391186e-06,-6.68612135913254e-07,2.98722984665188e-06,1.21461448010196e-05,0.200785628161689,0.935843474461678,0.970655701394588,"Upregulated"
"DDB_G0267202","DDB_G0267202",9.55590991775418e-06,1.76318822063151e-06,7.18900065750226e-06,-3.57477398132813e-06,-2.11139306346615e-06,-9.44799900996644e-06,1.70537500504455e-05,8.91082735940051e-07,1.3530845886744e-05,0.382601132359819,0.819190776797129,0.899723005950554,"Downregulated"
