"row_IDs","X","b_0","b_1","b_2","b_3","d_0","d_1","d_2","d_3","AveExpr","F","P.Value","adj.P.Val","Regulation"
"DDB_G0267180","DDB_G0267180",1.09236124171577e-05,6.61587888730734e-05,4.23088684388652e-05,2.31714695825243e-05,4.32972709109848e-06,-8.07882759898627e-06,1.42908942696568e-05,5.22394287385802e-05,3.94580218543816e-05,2.08086433731521,0.109569539272876,0.224315867631908,"Downregulated"
"DDB_G0267182","DDB_G0267182",1.4429862595355e-05,7.01762230826925e-05,6.81715202367761e-05,4.34345837767807e-05,1.10877745177393e-06,5.36866309410042e-06,4.5551234072914e-06,1.95478701538266e-05,5.01560171971124e-05,0.360454766749201,0.834608583026124,0.962219297608365,"Downregulated"
"DDB_G0267184","DDB_G0267184",9.4478235817766e-06,2.32303168001446e-05,2.54548282675136e-05,7.15253868713974e-06,2.23576761119803e-06,1.7204550816918e-05,-7.92468491862493e-06,1.0983691889381e-05,2.24677560709787e-05,0.289178245792605,0.88255057250466,0.984340750981046,"Downregulated"
"DDB_G0267186","DDB_G0267186",7.13233817117457e-06,6.38623475995705e-06,3.51944169481256e-05,6.92078471937735e-07,6.36999187182705e-06,3.16008348022102e-05,-2.00919637207887e-05,7.39806486827027e-06,2.20658218265679e-05,0.453616767440263,0.768930195350015,0.918362853669736,"Downregulated"
"DDB_G0267188","DDB_G0267188",7.97001527172971e-06,2.26109057404163e-05,2.99987681151315e-05,6.61350487809528e-06,4.53374703362893e-06,-2.18414159046276e-06,-7.9996438959892e-06,4.96046817126192e-06,2.22951323317794e-05,0.100343302913833,0.981457073718894,0.999948786812498,"Downregulated"
"DDB_G0267190","DDB_G0267190",8.04245592278009e-06,6.11074540890734e-06,1.40439327008072e-05,-2.41327950808568e-06,5.35131855307492e-07,6.31035914332315e-06,-5.54085027983701e-06,5.1748051516504e-06,1.34501594903839e-05,0.132718837581049,0.969067533917882,0.999948786812498,"Upregulated"
"DDB_G0267194","DDB_G0267194",8.48171073603284e-06,2.02249392696447e-05,9.22568924619854e-06,4.0662408615597e-06,-9.92071852685963e-07,1.40099905821888e-05,1.78491588867965e-06,-3.11812219189517e-07,1.51366230707956e-05,0.260034551975445,0.901073819427089,0.990969460403868,"Downregulated"
"DDB_G0267196","DDB_G0267196",6.45936589988504e-06,-3.21357757553981e-07,1.87988457065713e-05,-1.06195263306927e-06,1.94923565790436e-06,4.34850134239277e-06,-4.87693728096908e-06,1.04514885715375e-05,1.34698639878436e-05,0.301125372182465,0.874746075920375,0.981488392045997,"Downregulated"
"DDB_G0267198","DDB_G0267198",7.55037929062086e-06,9.25283246712321e-06,1.07103905338122e-05,2.4752210634834e-07,2.72631187155091e-06,-1.91722626779245e-06,-7.23336275899507e-06,3.72464759845385e-06,1.2510552566659e-05,0.0908935241397877,0.984571170967906,0.999948786812498,"Downregulated"
"DDB_G0267202","DDB_G0267202",9.5559099177542e-06,1.76318822063151e-06,7.18900065750224e-06,-3.57477398132814e-06,2.62728342222636e-06,8.07242801358333e-06,-4.01547270642997e-06,7.74672395918961e-06,1.34368149601549e-05,0.323152866204676,0.860085271060383,0.97585021168717,"Downregulated"
"DDB_G0267204","DDB_G0267204",7.69066361272394e-06,1.06035992735541e-05,1.08774066747912e-05,-6.18965901685417e-07,8.54454177787715e-06,-8.48573265730376e-06,-1.5457935814353e-05,4.56703124436089e-06,1.3923084147032e-05,0.532130847011046,0.713118520583655,0.877779092610936,"Downregulated"
"DDB_G0267206","DDB_G0267206",1.15915481938911e-05,6.0891877033842e-05,6.67196682131825e-05,3.83802526754247e-05,4.28517033945746e-06,-5.05715681071429e-06,4.86316282337704e-06,1.96027943373849e-05,4.64624921365441e-05,0.346841072760524,0.843987792179946,0.967294023992493,"Downregulated"
"DDB_G0267208","DDB_G0267208",3.03299598613408e-05,0.000155046498239904,9.73740112956722e-05,9.31345990785633e-05,1.6578892840074e-05,7.72019588385174e-05,7.68762460745983e-05,4.44938886680632e-05,0.000113607404529413,2.72449706984225,0.0489696285527851,0.118730823765169,"Downregulated"
"DDB_G0267210","DDB_G0267210",1.75303102840846e-05,0.000116896832083075,0.000131339406900583,3.00040605404829e-05,1.02080326767588e-05,9.5681336221025e-05,-1.21896651487152e-05,6.84690712738427e-05,8.90931756472291e-05,3.82935790571304,0.0130287019692677,0.0405007589573017,"Downregulated"
"DDB_G0267212","DDB_G0267212",9.18407559554475e-06,7.28421795544589e-06,8.54040659712991e-06,-2.83977454406992e-06,1.4603151714957e-06,-1.04420195884859e-05,-1.24413608083447e-06,3.1782986510286e-06,1.29177867767222e-05,0.233535307917437,0.917165604998479,0.995367287654374,"Upregulated"
"DDB_G0267216","DDB_G0267216",9.6604612814111e-06,1.08744236479042e-05,8.65530681450641e-06,-3.62439430681135e-06,3.1734529832431e-06,-6.04842824501179e-06,-4.23156918273016e-06,3.30679230979729e-06,1.45065310317234e-05,0.124257056885109,0.972548252443815,0.999948786812498,"Downregulated"
"DDB_G0267218","DDB_G0267218",7.57520115233664e-06,1.89963968762234e-05,2.18113378516327e-05,-5.4689973445542e-06,2.26172918488359e-06,-1.58358791953209e-05,-7.72790352741254e-06,1.05495710499298e-05,1.64018388910585e-05,0.405049893745213,0.803404663390115,0.944064884346461,"Upregulated"
"DDB_G0267220","DDB_G0267220",1.07202420533403e-05,9.64940668955317e-06,4.14625512749564e-07,4.55462377398973e-07,1.01118581104222e-06,2.97802655957428e-06,6.79458314489091e-06,3.70520013638322e-06,1.40519503127069e-05,0.286375921849653,0.884364633480859,0.985343709164502,"Downregulated"
"DDB_G0267222","DDB_G0267222",1.10990592146817e-05,-2.1253457212652e-05,4.20961909129118e-05,-1.15185004175494e-06,3.06851062281251e-06,5.84243020512051e-05,-3.07539470754885e-05,1.90229828900533e-05,2.31650347510511e-05,2.79004619563506,0.0451674812382841,0.11152930740507,"Downregulated"
"DDB_G0267224","DDB_G0267224",5.89383007132269e-06,8.40948111308848e-06,2.37441876174901e-05,-4.65815285993391e-06,1.68295766299044e-05,1.06690982082193e-05,-3.45398389451591e-05,5.0326277574116e-06,1.83074872012639e-05,0.814005157811584,0.526799249981219,0.7159066730514,"Downregulated"
"DDB_G0267226","DDB_G0267226",2.2662358394163e-05,-5.73231812112803e-06,7.17953739219968e-06,3.67566529514319e-05,-1.22680035396459e-05,2.05505782194297e-05,2.20421839061774e-05,-1.59311921416806e-05,2.40787454088753e-05,0.349889544208856,0.841894903760962,0.965758343228522,"Upregulated"
"DDB_G0267228","DDB_G0267228",4.39646259462393e-06,9.03932248678975e-06,1.52904349289315e-05,2.65575140292689e-06,6.51308834639969e-06,-4.4904340870676e-06,-1.08218553762375e-05,-4.15796006733824e-06,1.19942360758686e-05,0.234755391166861,0.916442503834624,0.995198675318168,"Downregulated"
"DDB_G0267230","DDB_G0267230",7.31332147924401e-06,8.27995675575895e-06,1.02240924731564e-05,1.28218189024028e-06,2.44346236683684e-08,-1.70213689750911e-06,-4.57053142783981e-07,3.41377354485797e-06,1.18409738112703e-05,0.0458490218644507,0.995801679175976,0.999948786812498,"Upregulated"
"DDB_G0267236","DDB_G0267236",1.84885797688322e-05,0.00014149007029624,0.00036305040865229,1.50826277088424e-05,1.53705233274514e-05,0.000214716641107516,-5.91527815296032e-05,0.000158693622560261,0.00017683678500934,3.41358931000732,0.0212306695646196,0.0606874454726567,"Downregulated"
"DDB_G0267238","DDB_G0267238",1.42880311372023e-05,0.000160905336247408,0.000198472449357114,4.32881729447949e-05,9.4390337638124e-06,3.78907624083786e-05,2.15543775803418e-05,5.93176859945847e-05,0.000116917146448558,0.989019332144666,0.429374726468447,0.618851583513238,"Downregulated"
"DDB_G0267240","DDB_G0267240",5.85736620601298e-06,8.62629489771045e-05,9.26993836317858e-05,4.63184690829572e-05,1.06005916585975e-05,7.63629129114683e-06,-3.63268701685189e-05,-3.57141007046801e-06,4.98085615082221e-05,0.221018768337039,0.924475540211219,0.998127115600745,"Upregulated"
"DDB_G0267242","DDB_G0267242",1.10233883067466e-05,1.61333851449808e-05,2.1411141992163e-05,-1.07246948233439e-05,5.19671550728819e-06,-1.41756195418271e-05,-1.77542691742371e-05,1.44283506215625e-05,1.90946700807247e-05,0.573834636271806,0.683823230204258,0.855095715179859,"Upregulated"
"DDB_G0267244","DDB_G0267244",1.23155373084354e-05,8.24933741010157e-05,9.87735728816255e-05,2.88448439141703e-05,-1.49826398591015e-07,-7.76860057002384e-06,1.32861323562636e-05,5.1580151297176e-05,6.03867497629551e-05,1.35320255721983,0.274786111900154,0.446692860739085,"Downregulated"
"DDB_G0267246","DDB_G0267246",7.16291263425585e-06,3.13680752211009e-05,5.05949933658791e-05,7.97863603088184e-06,2.2182388862944e-06,2.16745530686457e-05,-1.161741664645e-05,5.36500150840715e-06,2.96050340872108e-05,0.231085801060842,0.918611811440538,0.995494043612965,"Downregulated"
"DDB_G0267248","DDB_G0267248",3.20763838433123e-06,5.38602801725329e-05,0.000119123514472929,-8.96943937146424e-06,1.29596275661071e-05,1.85896980373473e-05,-2.0768969012707e-05,7.73537623498814e-05,5.64547821226927e-05,2.12352442119229,0.103819958265048,0.214851455477197,"Downregulated"
"DDB_G0267250","DDB_G0267250",9.48453950569471e-06,9.38063728839005e-06,1.37943620364266e-05,-8.34813240752932e-06,4.16109748518903e-06,4.38522053775814e-06,-1.08723414935262e-05,8.6126129545098e-06,1.58986387346222e-05,0.201021703106415,0.935714138903805,0.999948786812498,"Downregulated"
"DDB_G0267252","DDB_G0267252",6.89686629674593e-06,3.61131456368678e-07,1.18304341881908e-05,-3.37873219626068e-06,1.39682804706716e-06,1.97116091887312e-05,-6.72520179607532e-06,8.11986132968643e-06,1.18911259008595e-05,0.70386660541489,0.595844428215973,0.781421332954812,"Downregulated"
"DDB_G0267254","DDB_G0267254",7.05609201470238e-06,1.22820220936093e-05,1.40709206359101e-05,-1.75364380843894e-07,2.55111884516145e-06,-1.3054218861076e-06,-6.99912735416271e-06,4.94854304476148e-06,1.35791249246442e-05,0.138714211273492,0.966504322517652,0.999948786812498,"Downregulated"
"DDB_G0267258","DDB_G0267258",1.32996435623483e-05,0.000139972162470094,0.000167964424301603,3.68623902335553e-05,9.65677000663479e-06,5.54349606109153e-05,-2.07067373273133e-05,6.12423527250843e-05,9.63291831633693e-05,0.928763752199239,0.461158650272171,0.650123197229157,"Downregulated"
"DDB_G0267260","DDB_G0267260",1.89695796915605e-05,4.69138726512737e-05,2.2436545143229e-05,-1.91132932130124e-05,-3.2671335957802e-06,1.66483087225865e-05,2.32285718766595e-05,4.7955969835735e-05,3.64949027915146e-05,1.02738228940405,0.410100172961952,0.598062159768253,"Downregulated"
"DDB_G0267262","DDB_G0267262",9.49867756896e-06,4.60157870253665e-05,6.36422358736635e-05,1.30797447174539e-05,6.49721949522427e-06,-3.72956887716925e-06,-4.34149447486348e-05,5.99126650643965e-06,3.34534782514312e-05,0.735292039334947,0.575574650601783,0.761849377566405,"Upregulated"
"DDB_G0267264","DDB_G0267264",8.89078402808922e-06,5.3024471274026e-05,3.64800538819355e-05,-1.00442471876365e-05,9.24162597925902e-06,-1.3274614578563e-05,8.21034439362488e-06,7.17869977481514e-05,3.42452253715017e-05,2.41621512325568,0.071848498368299,0.161445136662895,"Downregulated"
"DDB_G0267270","DDB_G0267270",1.07596853158623e-05,2.53122000452365e-05,3.14454475413542e-05,3.46597853341872e-05,-6.33795840131793e-07,1.68542399137657e-05,-2.27553205883605e-05,-1.86628536976164e-05,2.23650499865303e-05,0.743898454667341,0.570100190205258,0.757103441662108,"Upregulated"
"DDB_G0267272","DDB_G0267272",6.73914588897623e-06,2.87520352645791e-05,2.2124338845202e-05,7.07394441785871e-06,3.84304397003086e-06,-2.67300384926275e-05,1.14412453801202e-05,3.9662883412504e-06,2.05651981395799e-05,1.01432126289126,0.416578904872065,0.605264946813982,"Downregulated"
"DDB_G0267274","DDB_G0267274",6.60786124598865e-06,1.61967285991737e-05,1.3945168082423e-05,1.15955772718448e-06,4.27109629282726e-06,-8.0215878265426e-06,-6.60748887078803e-06,6.73230494856074e-06,1.41349496673811e-05,0.366520385292732,0.830403986150159,0.959617043160996,"Downregulated"
"DDB_G0267278","DDB_G0267278",7.1882208730299e-06,1.47104980145113e-05,1.06329471798782e-05,1.657094697325e-07,4.82447011371121e-06,-1.11306218700852e-05,-1.07969370639097e-05,-1.35811511052139e-07,1.26168089280519e-05,0.29877014644254,0.876293389749712,0.981935203547379,"Upregulated"
"DDB_G0267280","DDB_G0267280",6.91398742877496e-06,5.98998407387668e-06,1.04827054368948e-05,-3.28467160372889e-06,4.22948279009051e-06,-8.65763589042455e-07,-3.27709511574212e-06,4.41943570835551e-06,1.2812987636264e-05,0.303651278519166,0.873082038720906,0.981488392045997,"Downregulated"
"DDB_G0267282","DDB_G0267282",1.37957412732863e-05,1.53494791660319e-05,4.045547337023e-05,-3.17335988136814e-06,1.41955087705507e-06,2.41075131598922e-05,-1.70595212447506e-06,2.70828267851454e-05,3.21005694158492e-05,1.11211909183334,0.370130875993375,0.556345788760228,"Downregulated"
