"row_IDs","X","b_0","b_1","b_2","b_3","d_0","d_1","d_2","d_3","AveExpr","F","P.Value","adj.P.Val","Regulation"
"DDB_G0267180","DDB_G0267180",1.09236124171577e-05,6.61587888730734e-05,4.23088684388652e-05,2.31714695825243e-05,-4.44693967075764e-06,-4.54723657485012e-05,-3.56692529818053e-05,-2.65339324696588e-05,2.30902166750585e-05,5.35396943580232,0.00242032910970666,0.00724629812350551,"Upregulated"
"DDB_G0267182","DDB_G0267182",1.4429862595355e-05,7.01762230826925e-05,6.81715202367761e-05,4.34345837767807e-05,-8.36674981356501e-06,-5.69414176711658e-05,-5.05810693369763e-05,-4.20725218215029e-05,3.10992190164482e-05,13.8419544128968,2.17838828127292e-06,3.81694099666756e-05,"Upregulated"
"DDB_G0267184","DDB_G0267184",9.44782358177659e-06,2.32303168001446e-05,2.54548282675136e-05,7.15253868713973e-06,-5.59551051102994e-06,-1.56562261097046e-05,-4.22925422757374e-06,-1.27638198072566e-05,1.68092808024029e-05,1.44983282741625,0.243447480851756,0.327198720465747,"Upregulated"
"DDB_G0267186","DDB_G0267186",7.13233817117454e-06,6.38623475995706e-06,3.51944169481256e-05,6.92078471937737e-07,-5.11850639099205e-06,2.89284622128227e-07,-5.26700874099285e-06,-1.69190562439916e-05,1.66143952394714e-05,0.57515968303409,0.68289932711055,0.738583925248327,"Upregulated"
"DDB_G0267188","DDB_G0267188",7.9700152717297e-06,2.26109057404163e-05,2.99987681151315e-05,6.61350487809528e-06,-1.34644964902495e-06,-1.59821470380069e-06,-2.51191435429361e-05,-8.25736328237636e-06,1.62670202538908e-05,1.92202524732074,0.133973700095568,0.198606874413518,"Upregulated"
"DDB_G0267190","DDB_G0267190",8.0424559227801e-06,6.11074540890733e-06,1.40439327008072e-05,-2.41327950808568e-06,-3.43676402507121e-06,-3.23471457676645e-06,-4.50487646687574e-06,-8.52661224892526e-07,1.09606837652963e-05,1.00203780697701,0.4227527688084,0.512110598105075,"Upregulated"
"DDB_G0267194","DDB_G0267194",8.48171073603284e-06,2.02249392696447e-05,9.22568924619855e-06,4.0662408615597e-06,4.36033594207125e-06,3.00213140720074e-06,-1.76884473382684e-05,-5.21819346375325e-06,1.36492269042499e-05,0.182784902526051,0.945438525646355,0.95707928413103,"Upregulated"
"DDB_G0267196","DDB_G0267196",6.45936589988502e-06,-3.21357757553974e-07,1.87988457065713e-05,-1.06195263306927e-06,-2.98348187901863e-06,4.60925748778775e-06,-7.35575690456565e-06,-2.34138856075856e-06,1.04522834396244e-05,0.954212897593481,0.447510739397145,0.535741812361808,"Upregulated"
"DDB_G0267198","DDB_G0267198",7.55037929062086e-06,9.25283246712321e-06,1.07103905338122e-05,2.47522106348342e-07,-2.84868876531861e-06,-5.52043114027704e-06,-8.75957105180842e-07,-5.35559371253417e-06,1.05012712156429e-05,0.58642056896396,0.67506372963673,0.732022945241859,"Upregulated"
"DDB_G0267202","DDB_G0267202",9.55590991775419e-06,1.76318822063152e-06,7.18900065750225e-06,-3.57477398132813e-06,-3.17238764188999e-06,-8.46757381537032e-07,-4.83545266994692e-06,2.16541888768103e-06,9.75516956049195e-06,0.759641293345776,0.56017535976825,0.636330631864987,"Upregulated"
"DDB_G0267204","DDB_G0267204",7.69066361272394e-06,1.06035992735541e-05,1.08774066747912e-05,-6.18965901685413e-07,-2.26278571710024e-06,-1.20989600404738e-05,-1.90066278341059e-06,-5.82260770075585e-06,1.05387766343101e-05,1.22786034126837,0.321116060988289,0.410622516005958,"Upregulated"
