"row_IDs","X","b_0","b_1","b_2","b_3","d_0","d_1","d_2","d_3","AveExpr","F","P.Value","adj.P.Val","Regulation"
"DDB_G0267180","DDB_G0267180",1.09236124171577e-05,6.61587888730734e-05,4.23088684388652e-05,2.31714695825244e-05,-5.19400847593568e-06,-4.71639724613231e-05,6.06271712145911e-06,2.05657982921573e-05,3.03851792586977e-05,1.51456225065705,0.22438822681858,0.301393171764071,"Upregulated"
"DDB_G0267182","DDB_G0267182",1.4429862595355e-05,7.01762230826925e-05,6.81715202367761e-05,4.34345837767807e-05,-6.57196909131835e-06,-4.9619409995717e-05,-2.11922554844469e-05,-5.61492728483931e-06,3.79850601772581e-05,3.90427214993256,0.0119446898100624,0.027733995565507,"Upregulated"
"DDB_G0267184","DDB_G0267184",9.44782358177659e-06,2.32303168001446e-05,2.54548282675136e-05,7.15253868713974e-06,-3.2418709836307e-06,-1.98412209585766e-05,-1.18255264374034e-06,1.51768535593349e-05,1.85422348255975e-05,1.41573303540736,0.254087353815744,0.334214378016688,"Upregulated"
"DDB_G0267186","DDB_G0267186",7.13233817117455e-06,6.38623475995706e-06,3.51944169481256e-05,6.92078471937738e-07,9.74534327079595e-07,1.1879933756346e-05,8.8264112328545e-06,-1.24256894596531e-05,2.29197083500679e-05,0.154942643219245,0.959184437118874,0.974720645229866,"Downregulated"
"DDB_G0267188","DDB_G0267188",7.9700152717297e-06,2.26109057404163e-05,2.99987681151315e-05,6.61350487809528e-06,-1.18208649483228e-06,-8.46672341504087e-06,-2.06705141695503e-06,8.66161086598415e-07,2.00201945911208e-05,0.149878547769912,0.961526770041097,0.976142379458741,"Upregulated"
"DDB_G0267190","DDB_G0267190",8.0424559227801e-06,6.11074540890734e-06,1.40439327008072e-05,-2.41327950808568e-06,-2.2881162441105e-06,-4.84318746032233e-06,4.62464052459149e-07,9.37888793294378e-06,1.24054720549437e-05,0.57958942339236,0.679812015747576,0.760246657422479,"Upregulated"
"DDB_G0267194","DDB_G0267194",8.48171073603282e-06,2.02249392696447e-05,9.22568924619856e-06,4.06624086155969e-06,-2.06399176520625e-06,1.31476528898731e-05,4.99882629994998e-06,-2.63317949687633e-06,1.50805034496522e-05,0.130364650648339,0.970052577365098,0.980785370143077,"Downregulated"
"DDB_G0267196","DDB_G0267196",6.45936589988503e-06,-3.21357757553973e-07,1.87988457065713e-05,-1.06195263306927e-06,-1.82836052902682e-06,7.40819289708514e-06,-7.42479892885386e-06,-7.218437565406e-07,1.12168645527883e-05,0.471234495775119,0.756378645446489,0.826839896573483,"Upregulated"
"DDB_G0267198","DDB_G0267198",7.55037929062085e-06,9.25283246712321e-06,1.07103905338122e-05,2.47522106348342e-07,-5.5092305972225e-07,-3.56356079041741e-06,3.34519099458935e-07,4.21162303034003e-06,1.20900102299607e-05,0.10857233970786,0.978552991670123,0.985932495770699,"Upregulated"
"DDB_G0267202","DDB_G0267202",9.55590991775419e-06,1.76318822063151e-06,7.18900065750224e-06,-3.57477398132813e-06,-3.19248138801007e-06,5.23623795202613e-06,4.64008451338599e-06,7.62920682777831e-06,1.18509724731071e-05,0.222168133093768,0.923813296177522,0.953551371058498,"Upregulated"
"DDB_G0267204","DDB_G0267204",7.69066361272394e-06,1.06035992735541e-05,1.08774066747912e-05,-6.18965901685411e-07,-7.25719198261348e-07,-2.04462607423357e-06,-7.44008601684299e-08,9.49949687528103e-06,1.24418143962063e-05,0.39485526047157,0.810590494476147,0.869647317620332,"Upregulated"
"DDB_G0267206","DDB_G0267206",1.15915481938911e-05,6.0891877033842e-05,6.67196682131825e-05,3.83802526754247e-05,-1.4624047491659e-06,-1.30664337363153e-05,-3.35412635475653e-05,-1.06605002243539e-06,3.6150888865594e-05,1.12271643660406,0.365374759183988,0.4533517133882,"Upregulated"
"DDB_G0267208","DDB_G0267208",3.03299598613408e-05,0.000155046498239904,9.73740112956722e-05,9.31345990785633e-05,-2.34167087638878e-05,-3.14038275440403e-05,8.52064280919987e-05,1.11131056151058e-05,8.76511803978775e-05,0.19055462244514,0.94136117166408,0.96483983302151,"Downregulated"
"DDB_G0267210","DDB_G0267210",1.75303102840846e-05,0.000116896832083075,0.000131339406900583,3.00040605404828e-05,-2.09951059533085e-06,-4.25256933769343e-05,-6.65216343297091e-05,1.25204007025527e-05,6.38893687876528e-05,3.97020656279735,0.0110713119299247,0.02608801991219,"Upregulated"
"DDB_G0267212","DDB_G0267212",9.18407559554476e-06,7.28421795544589e-06,8.54040659712989e-06,-2.83977454406993e-06,-2.64291771694895e-06,6.07643352267335e-06,-1.4203663872915e-06,5.94067187503621e-06,1.19380730936697e-05,0.30813285681202,0.870118839033376,0.914316256713262,"Upregulated"
"DDB_G0267216","DDB_G0267216",9.66046128141111e-06,1.08744236479042e-05,8.6553068145064e-06,-3.62439430681135e-06,-3.69669744454601e-06,-3.2304804388634e-06,3.84663818809316e-06,1.03067218705021e-05,1.27377663289004e-05,0.615882691207236,0.654735316757286,0.738448397179823,"Upregulated"
"DDB_G0267218","DDB_G0267218",7.57520115233663e-06,1.89963968762234e-05,2.18113378516327e-05,-5.4689973445542e-06,-4.58250940285944e-07,-1.67713057426277e-05,-7.33303883052406e-06,1.06338946999666e-05,1.505083024765e-05,0.866693365934035,0.495833441482165,0.587162747710299,"Upregulated"
"DDB_G0267220","DDB_G0267220",1.07202420533403e-05,9.64940668955318e-06,4.14625512749553e-07,4.55462377398973e-07,-1.05742231077276e-05,-5.35329374155265e-06,4.35840834452439e-05,-1.16722733306164e-05,1.39708899874633e-05,0.689658483332022,0.605147257190668,0.69219822712276,"Downregulated"
"DDB_G0267222","DDB_G0267222",1.10990592146817e-05,-2.1253457212652e-05,4.20961909129118e-05,-1.15185004175495e-06,7.79291588507311e-06,5.1905334692447e-05,-5.84822774168378e-05,1.2756764445887e-05,2.02011605856928e-05,3.10155375580771,0.0308713292929598,0.059150832015462,"Upregulated"
"DDB_G0267224","DDB_G0267224",5.89383007132268e-06,8.40948111308849e-06,2.37441876174901e-05,-4.65815285993391e-06,1.04170026240046e-06,3.47427707769802e-07,-1.36032523368167e-05,1.20449779961221e-05,1.34687956885375e-05,0.76532310752771,0.556617941033632,0.64725128845851,"Upregulated"
"DDB_G0267226","DDB_G0267226",2.26623583941631e-05,-5.73231812112804e-06,7.17953739219967e-06,3.67566529514319e-05,-1.16343193137606e-05,9.2706916595176e-05,-6.24819768980023e-06,-2.39212964696115e-06,2.42938118136064e-05,0.92564351552648,0.462851482672529,0.554298143488128,"Upregulated"
"DDB_G0267228","DDB_G0267228",4.39646259462392e-06,9.03932248678975e-06,1.52904349289315e-05,2.65575140292689e-06,1.76566840995909e-06,-1.60012377007069e-06,-2.16866069508787e-06,4.32198266104555e-06,1.14075352121664e-05,0.110618204829825,0.977804044929977,0.985537360359238,"Downregulated"
"DDB_G0267230","DDB_G0267230",7.313321479244e-06,8.27995675575895e-06,1.02240924731565e-05,1.28218189024028e-06,-5.6067648956756e-07,-3.05433934078858e-06,-2.82514174264907e-06,1.6360869095367e-07,1.10130377657881e-05,0.148691495960954,0.962068346316815,0.976410814716649,"Upregulated"
"DDB_G0267236","DDB_G0267236",1.84885797688323e-05,0.00014149007029624,0.000363050408652289,1.50826277088425e-05,9.57774550482879e-06,4.76179736217707e-05,-0.0001475341069687,3.73719595477701e-05,0.000146380528006565,1.60685576702619,0.199706129885813,0.273423443842382,"Upregulated"
