"","pathway","description","genes_in_pathway","matches","%_match","pValue","adj.pValue","overlap"
"GO:0006725","GO:0006725","""cellular aromatic compound metabolic process""","687","45","6.55","2.1288283915733e-06","0.000113798949282874","8616111,8616928,8617007,8617455,8618472,8618670,8619300,8619591,8619731,8620524,8620756,8621025,8621067,8621204,8621318,8621377,8621459,8621598,8621982,8621994,8622192,8622529,8622781,8622806,8623253,8623277,8623303,8623598,8623694,8623776,8623890,8623972,8624069,8624285,8624472,8625614,8625973,8625991,8626029,8626140,8626225,8626539,8628075,8628191,8628843"
"GO:0045333","GO:0045333","""cellular respiration""","40","9","22.5","3.67713787466642e-06","0.000193176536277734","8617392,8617822,8620073,8621736,8622529,8623406,8623856,8624195,8629462"
"GO:0006586","GO:0006586","""indolalkylamine metabolic process""","5","4","80","5.14848791198362e-06","0.000257171191275641","8623776,8623972,8624069,8624472"
"GO:0042430","GO:0042430","""indole-containing compound metabolic process""","5","4","80","5.14848791198362e-06","0.000257171191275641","8623776,8623972,8624069,8624472"
"GO:0006568","GO:0006568","""tryptophan metabolic process""","5","4","80","5.14848791198362e-06","0.000257171191275641","8623776,8623972,8624069,8624472"
"GO:0071705","GO:0071705","""nitrogen compound transport""","216","21","9.72","5.31551157573969e-06","0.000261231673730304","8616852,8617382,8618440,8618596,8620316,8620939,8620991,8621332,8623999,8624067,8624340,8624941,8625414,8625745,8626796,8626805,8627033,8627109,8628187,8628472,8629265"
"GO:0009074","GO:0009074","""aromatic amino acid family catabolic process""","10","5","50","7.38621329766801e-06","0.000357234792349118","8621377,8623776,8623972,8624285,8624472"
"GO:0034645","GO:0034645","""cellular macromolecule biosynthetic process""","221","21","9.5","7.62622150989369e-06","0.000363079639697595","8616928,8617226,8618220,8618472,8618670,8618956,8619336,8619731,8620036,8620085,8622192,8622690,8624247,8624622,8625991,8626140,8626305,8626539,8626719,8626812,8628289"
"GO:0071702","GO:0071702","""organic substance transport""","258","23","8.91","8.05726639842329e-06","0.000376284279051498","8616852,8617382,8618440,8618596,8620316,8620939,8620991,8623999,8624340,8624941,8624973,8625414,8625745,8625784,8626796,8626805,8626825,8627033,8627109,8627682,8628187,8628472,8629265"
"GO:0009150","GO:0009150","""purine ribonucleotide metabolic process""","55","10","18.18","8.15056200111549e-06","0.000376284279051498","8619300,8619591,8620524,8621025,8621204,8621459,8622529,8623694,8625973,8626225"
"GO:0016052","GO:0016052","""carbohydrate catabolic process""","25","7","28","9.68937424061529e-06","0.000440649601659027","8619300,8619591,8620524,8622529,8623081,8624347,8626225"
"GO:0072521","GO:0072521","""purine-containing compound metabolic process""","70","11","15.71","1.241296711354e-05","0.000556210452867006","8619300,8619591,8620524,8621025,8621204,8621459,8622529,8623694,8625614,8625973,8626225"
"GO:0043043","GO:0043043","""peptide biosynthetic process""","177","18","10.17","1.39213997168426e-05","0.000614760941119123","8616928,8617226,8618220,8618472,8618670,8618956,8619731,8622192,8622690,8624247,8625991,8626140,8626305,8626539,8626719,8626812,8628289,8628309"
"GO:0009060","GO:0009060","""aerobic respiration""","36","8","22.22","1.43351993437746e-05","0.000623990748578301","8617392,8617822,8620073,8622529,8623406,8623856,8624195,8629462"
"GO:0007005","GO:0007005","""mitochondrion organization""","27","7","25.93","1.69403326938621e-05","0.000727002728425322","8617302,8620991,8621067,8621459,8623694,8625232,8626796"
"GO:0006418","GO:0006418","""tRNA aminoacylation for protein translation""","37","8","21.62","1.77876326507568e-05","0.000752762731761888","8616928,8618472,8618670,8619731,8622192,8625991,8626140,8626539"
"GO:1901565","GO:1901565","""organonitrogen compound catabolic process""","148","16","10.81","1.98110003382449e-05","0.000826905726447018","8618223,8621377,8623358,8623776,8623972,8624285,8624472,8624605,8625523,8625614,8626029,8626298,8626767,8627683,8628069,8628802"
"GO:0046483","GO:0046483","""heterocycle metabolic process""","679","42","6.19","2.10528495757925e-05","0.00086686530618162","8616111,8616928,8617007,8617455,8618472,8618670,8619300,8619591,8619731,8620524,8620756,8621025,8621067,8621204,8621318,8621459,8621598,8621982,8621994,8622192,8622529,8622781,8622806,8623253,8623277,8623303,8623598,8623694,8623776,8623890,8623972,8624069,8624472,8625614,8625973,8625991,8626140,8626225,8626539,8628075,8628191,8628843"
"GO:0043038","GO:0043038","""amino acid activation""","38","8","21.05","2.19126326185884e-05","0.000878523573537354","8616928,8618472,8618670,8619731,8622192,8625991,8626140,8626539"
"GO:0043039","GO:0043039","""tRNA aminoacylation""","38","8","21.05","2.19126326185884e-05","0.000878523573537354","8616928,8618472,8618670,8619731,8622192,8625991,8626140,8626539"
"GO:0006163","GO:0006163","""purine nucleotide metabolic process""","62","10","16.13","2.45906628540979e-05","0.000973087658655015","8619300,8619591,8620524,8621025,8621204,8621459,8622529,8623694,8625973,8626225"
"GO:0006790","GO:0006790","""sulfur compound metabolic process""","39","8","20.51","2.68111187150797e-05","0.0010473522913442","8616518,8616970,8617183,8620524,8621044,8621204,8628191,8628309"
"GO:0034354","GO:0034354","""'de novo' NAD biosynthetic process from tryptophan""","3","3","100","3.31826656091349e-05","0.001233019294037","8623776,8623972,8624472"
"GO:0034627","GO:0034627","""'de novo' NAD biosynthetic process""","3","3","100","3.31826656091349e-05","0.001233019294037","8623776,8623972,8624472"
"GO:0043420","GO:0043420","""anthranilate metabolic process""","3","3","100","3.31826656091349e-05","0.001233019294037","8623776,8623972,8624472"
"GO:0042182","GO:0042182","""ketone catabolic process""","3","3","100","3.31826656091349e-05","0.001233019294037","8624472,8626029,8628191"
"GO:0042537","GO:0042537","""benzene-containing compound metabolic process""","7","4","57.14","3.4237791112629e-05","0.00125689818699013","8623776,8623972,8624472,8626029"
"GO:1901135","GO:1901135","""carbohydrate derivative metabolic process""","155","16","10.32","3.53271728651948e-05","0.00128145113952677","8619300,8619336,8619591,8620036,8620524,8621025,8621204,8621459,8622529,8622781,8622806,8623694,8624347,8624622,8625973,8626225"
"GO:0009259","GO:0009259","""ribonucleotide metabolic process""","65","10","15.38","3.76211824735177e-05","0.00134860874113892","8619300,8619591,8620524,8621025,8621204,8621459,8622529,8623694,8625973,8626225"
