"","pathway","description","genes_in_pathway","matches","%_match","pValue","adj.pValue","overlap"
"decreased spore germination","decreased spore germination","""decreased spore germination""","42","6","14.29","7.94907622669486e-07","0.00017620452302507","8616333,8620676,8620794,8622088,8622433,8628675"
"abolished cellulose biosynthesis","abolished cellulose biosynthesis","""abolished cellulose biosynthesis""","5","3","60","4.69794067235342e-06","0.000781032636778757","8617212,8621274,8623560"
"abolished cellulose binding","abolished cellulose binding","""abolished cellulose binding""","2","2","100","6.2089174288901e-05","0.00825786018042384","8620676,8620794"
"decreased autophagic vacuole organization","decreased autophagic vacuole organization","""decreased autophagic vacuole organization""","3","2","66.67","0.000185317275326316","0.0205393313486667","8621274,8623560"
"decreased sporulation","decreased sporulation","""decreased sporulation""","79","5","6.33","0.000378462365569026","0.0359539247290574","8616333,8620083,8622088,8622433,8626891"
"aberrant culmination","aberrant culmination","""aberrant culmination""","89","5","5.62","0.000656494042643954","0.043656853835823","8617037,8617212,8621554,8622156,8628957"
"aberrant stalk development","aberrant stalk development","""aberrant stalk development""","5","2","40","0.00061144261688866","0.043656853835823","8617212,8626891"
"increased prestalk O cell differentiation","increased prestalk O cell differentiation","""increased prestalk O cell differentiation""","5","2","40","0.00061144261688866","0.043656853835823","8627992,8628675"
"aberrant late culminant morphology","aberrant late culminant morphology","""aberrant late culminant morphology""","8","2","25","0.00168602553638576","0.0862466908997332","8626569,8628675"
"abolished stalk cell differentiation","abolished stalk cell differentiation","""abolished stalk cell differentiation""","8","2","25","0.00168602553638576","0.0862466908997332","8617212,8624635"
"increased prespore cell differentiation","increased prespore cell differentiation","""increased prespore cell differentiation""","8","2","25","0.00168602553638576","0.0862466908997332","8628117,8628675"
"abolished sporulation","abolished sporulation","""abolished sporulation""","31","3","9.68","0.0018246544339061","0.0866710856105396","8617212,8621274,8624635"
"aberrant epithelium-like organization","aberrant epithelium-like organization","""aberrant epithelium-like organization""","1","1","100","0.00795593635250924","0.17066766691673","8626891"
"aberrant glycogen metabolism","aberrant glycogen metabolism","""aberrant glycogen metabolism""","1","1","100","0.00795593635250924","0.17066766691673","8628017"
"aberrant oscillatory cAMP signaling","aberrant oscillatory cAMP signaling","""aberrant oscillatory cAMP signaling""","97","4","4.12","0.00715966419532119","0.17066766691673","8616495,8617212,8620464,8628957"
"aberrant regulation of catalytic activity","aberrant regulation of catalytic activity","""aberrant regulation of catalytic activity""","1","1","100","0.00795593635250924","0.17066766691673","8628017"
"aberrant upper cup formation","aberrant upper cup formation","""aberrant upper cup formation""","1","1","100","0.00795593635250924","0.17066766691673","8628675"
"abolished actin filament depolymerization","abolished actin filament depolymerization","""abolished actin filament depolymerization""","1","1","100","0.00795593635250924","0.17066766691673","8623560"
"abolished protein localization to cell surface","abolished protein localization to cell surface","""abolished protein localization to cell surface""","1","1","100","0.00795593635250924","0.17066766691673","8626671"
"decreased cell fate determination","decreased cell fate determination","""decreased cell fate determination""","1","1","100","0.00795593635250924","0.17066766691673","8628675"
"decreased cell-cell adhesion","decreased cell-cell adhesion","""decreased cell-cell adhesion""","16","2","12.5","0.00693756951979099","0.17066766691673","8620128,8628675"
"decreased chemotaxis to folate","decreased chemotaxis to folate","""decreased chemotaxis to folate""","14","2","14.29","0.00531471937392658","0.17066766691673","8620128,8625513"
"decreased prespore cell differentiation","decreased prespore cell differentiation","""decreased prespore cell differentiation""","16","2","12.5","0.00693756951979099","0.17066766691673","8620128,8627992"
"decreased prespore gene expression","decreased prespore gene expression","""decreased prespore gene expression""","17","2","11.76","0.00782276688014368","0.17066766691673","8624635,8626891"
"decreased prestalk B cell differentiation","decreased prestalk B cell differentiation","""decreased prestalk B cell differentiation""","1","1","100","0.00795593635250924","0.17066766691673","8628117"
"decreased slime trail","decreased slime trail","""decreased slime trail""","1","1","100","0.00795593635250924","0.17066766691673","8621449"
"decreased spore resistance to hydrogen peroxide","decreased spore resistance to hydrogen peroxide","""decreased spore resistance to hydrogen peroxide""","1","1","100","0.00795593635250924","0.17066766691673","8617104"
"delayed gene expression","delayed gene expression","""delayed gene expression""","14","2","14.29","0.00531471937392658","0.17066766691673","8617104,8625513"
"development arrests at slug stage","development arrests at slug stage","""development arrests at slug stage""","17","2","11.76","0.00782276688014368","0.17066766691673","8624635,8627992"
"aberrant fruiting body morphogenesis","aberrant fruiting body morphogenesis","""aberrant fruiting body morphogenesis""","101","4","3.96","0.00824279953935068","0.171295677927131","8617037,8619342,8622088,8622760"
"abolished culmination","abolished culmination","""abolished culmination""","57","3","5.26","0.0102735981583546","0.207028568948662","8617212,8620464,8623312"
"aberrant cell differentiation","aberrant cell differentiation","""aberrant cell differentiation""","2","1","50","0.0158497835307296","0.257075757266712","8621274"
"abolished cell-substrate adhesion","abolished cell-substrate adhesion","""abolished cell-substrate adhesion""","2","1","50","0.0158497835307296","0.257075757266712","8626671"
"abolished development of tipped mound","abolished development of tipped mound","""abolished development of tipped mound""","2","1","50","0.0158497835307296","0.257075757266712","8626513"
