"","pathway","description","genes_in_pathway","matches","%_match","pValue","adj.pValue","overlap"
"GO:0005488","GO:0005488","""binding""","2022","68","3.36","7.53678831022613e-05","0.024162943322585","8615885,8615988,8616467,8616737,8617104,8617301,8617375,8617650,8617659,8617667,8617905,8618075,8618391,8618665,8619342,8619702,8619960,8620083,8620200,8620371,8620676,8620782,8620794,8620836,8620966,8620983,8621393,8621425,8621570,8621634,8621778,8622055,8622088,8622433,8622462,8622478,8623081,8623096,8623104,8623300,8623482,8623560,8623713,8624415,8624635,8625237,8625405,8625513,8625678,8625736,8625746,8626020,8626513,8626671,8626891,8626987,8627104,8627391,8627397,8627992,8628017,8628067,8628117,8628562,8628563,8628564,8629148,8629399"
"GO:0016798","GO:0016798","""hydrolase activity, acting on glycosyl bonds""","50","7","14","0.000116989364388558","0.0309997707028901","8622462,8622478,8625736,8625746,8626020,8626098,8628562"
"GO:0004553","GO:0004553","""hydrolase activity, hydrolyzing O-glycosyl compounds""","36","6","16.67","0.000135370177741878","0.0309997707028901","8622462,8622478,8625736,8625746,8626020,8628562"
"GO:0005198","GO:0005198","""structural molecule activity""","135","11","8.15","0.000222831361525513","0.0446498340656747","8617758,8618864,8620218,8620782,8621393,8621449,8621634,8621778,8625736,8625746,8626535"
"GO:0004645","GO:0004645","""1,4-alpha-oligoglucan phosphorylase activity""","2","2","100","0.000509355986360985","0.0510311028835412","8623081,8628017"
"GO:0102499","GO:0102499","""SHG alpha-glucan phosphorylase activity""","2","2","100","0.000509355986360985","0.0510311028835412","8623081,8628017"
"GO:0051748","GO:0051748","""UTP-monosaccharide-1-phosphate uridylyltransferase activity""","2","2","100","0.000509355986360985","0.0510311028835412","8621274,8627397"
"GO:0003983","GO:0003983","""UTP:glucose-1-phosphate uridylyltransferase activity""","2","2","100","0.000509355986360985","0.0510311028835412","8621274,8627397"
"GO:0005201","GO:0005201","""extracellular matrix structural constituent""","2","2","100","0.000509355986360985","0.0510311028835412","8625736,8625746"
"GO:0008184","GO:0008184","""glycogen phosphorylase activity""","2","2","100","0.000509355986360985","0.0510311028835412","8623081,8628017"
"GO:0102250","GO:0102250","""linear malto-oligosaccharide phosphorylase activity""","2","2","100","0.000509355986360985","0.0510311028835412","8623081,8628017"
"GO:0005199","GO:0005199","""structural constituent of cell wall""","2","2","100","0.000509355986360985","0.0510311028835412","8620782,8621393"
"GO:0043565","GO:0043565","""sequence-specific DNA binding""","50","6","12","0.00085105898020282","0.0802498556038306","8615988,8617667,8622088,8624415,8624635,8628117"
"GO:0000976","GO:0000976","""transcription cis-regulatory region binding""","11","3","27.27","0.00164273126132732","0.131664910595385","8622088,8624415,8628117"
"GO:0001067","GO:0001067","""transcription regulatory region nucleic acid binding""","11","3","27.27","0.00164273126132732","0.131664910595385","8622088,8624415,8628117"
"GO:0070569","GO:0070569","""uridylyltransferase activity""","3","2","66.67","0.00150530518773043","0.131664910595385","8621274,8627397"
"GO:1990837","GO:1990837","""sequence-specific double-stranded DNA binding""","14","3","21.43","0.00344760116880226","0.263166889218573","8622088,8624415,8628117"
"GO:0016684","GO:0016684","""oxidoreductase activity, acting on peroxide as acceptor""","6","2","33.33","0.00719631877381244","0.501552130192232","8617104,8620966"
"GO:0004601","GO:0004601","""peroxidase activity""","6","2","33.33","0.00719631877381244","0.501552130192232","8617104,8620966"
"GO:0016209","GO:0016209","""antioxidant activity""","21","3","14.29","0.0112197800341689","0.74938780811553","8617104,8620966,8623104"
"GO:0008097","GO:0008097","""5S rRNA binding""","1","1","100","0.0226438188494491","0.885318088186998","8621634"
"GO:0003677","GO:0003677","""DNA binding""","210","10","4.76","0.0204492749322291","0.885318088186998","8615988,8617667,8620676,8620794,8620983,8622088,8624415,8624635,8627992,8628117"
"GO:0000978","GO:0000978","""RNA polymerase II cis-regulatory region sequence-specific DNA binding""","1","1","100","0.0226438188494491","0.885318088186998","8622088"
"GO:0003974","GO:0003974","""UDP-N-acetylglucosamine 4-epimerase activity""","1","1","100","0.0226438188494491","0.885318088186998","8619881"
"GO:0003978","GO:0003978","""UDP-glucose 4-epimerase activity""","1","1","100","0.0226438188494491","0.885318088186998","8619881"
"GO:0035497","GO:0035497","""cAMP response element binding""","1","1","100","0.0226438188494491","0.885318088186998","8622088"
"GO:0016760","GO:0016760","""cellulose synthase (UDP-forming) activity""","1","1","100","0.0226438188494491","0.885318088186998","8617212"
"GO:0016759","GO:0016759","""cellulose synthase activity""","1","1","100","0.0226438188494491","0.885318088186998","8617212"
"GO:0003690","GO:0003690","""double-stranded DNA binding""","25","3","12","0.0181678233141664","0.885318088186998","8622088,8624415,8628117"
"GO:0140906","GO:0140906","""halogenase activity""","1","1","100","0.0226438188494491","0.885318088186998","8620966"
"GO:0140905","GO:0140905","""haloperoxidase activity""","1","1","100","0.0226438188494491","0.885318088186998","8620966"
"GO:0004447","GO:0004447","""iodide peroxidase activity""","1","1","100","0.0226438188494491","0.885318088186998","8620966"
"GO:0140825","GO:0140825","""lactoperoxidase activity""","1","1","100","0.0226438188494491","0.885318088186998","8620966"
"GO:0030170","GO:0030170","""pyridoxal phosphate binding""","26","3","11.54","0.0202036250266708","0.885318088186998","8622433,8623081,8628017"
"GO:0036393","GO:0036393","""thiocyanate peroxidase activity""","1","1","100","0.0226438188494491","0.885318088186998","8620966"
"GO:0004800","GO:0004800","""thyroxine 5'-deiodinase activity""","1","1","100","0.0226438188494491","0.885318088186998","8620128"
"GO:0070279","GO:0070279","""vitamin B6 binding""","26","3","11.54","0.0202036250266708","0.885318088186998","8622433,8623081,8628017"
"GO:0016757","GO:0016757","""glycosyltransferase activity""","49","4","8.16","0.0243196847723124","0.928201302143258","8617212,8621703,8623081,8628017"
"GO:0070626","GO:0070626","""(S)-2-(5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido) succinate lyase (fumarate-forming) activity""","1","0","0","1","1",""
"GO:0102752","GO:0102752","""1,4-alpha-glucan branching enzyme activity (using a glucosylated glycogenin as primer for glycogen synthesis)""","1","0","0","1","1",""
"GO:0003844","GO:0003844","""1,4-alpha-glucan branching enzyme activity""","1","0","0","1","1",""
"GO:0033938","GO:0033938","""1,6-alpha-L-fucosidase activity""","1","0","0","1","1",""
"GO:0004430","GO:0004430","""1-phosphatidylinositol 4-kinase activity""","1","0","0","1","1",""
"GO:0016303","GO:0016303","""1-phosphatidylinositol-3-kinase activity""","4","0","0","1","1",""
"GO:0046935","GO:0046935","""1-phosphatidylinositol-3-kinase regulator activity""","1","0","0","1","1",""
"GO:0000285","GO:0000285","""1-phosphatidylinositol-3-phosphate 5-kinase activity""","1","0","0","1","1",""
"GO:0016308","GO:0016308","""1-phosphatidylinositol-4-phosphate 5-kinase activity""","1","0","0","1","1",""
"GO:0052810","GO:0052810","""1-phosphatidylinositol-5-kinase activity""","1","0","0","1","1",""
"GO:0003842","GO:0003842","""1-pyrroline-5-carboxylate dehydrogenase activity""","1","0","0","1","1",""
"GO:0071889","GO:0071889","""14-3-3 protein binding""","1","0","0","1","1",""
