"","pathway","description","genes_in_pathway","matches","%_match","pValue","adj.pValue","overlap"
"aberrant stream morphology","aberrant stream morphology","""aberrant stream morphology""","73","7","9.59","1.88611858502404e-06","0.000313567214760246","8616495,8620980,8624008,8625569,8627162,8628615,8628957"
"abolished cellulose binding","abolished cellulose binding","""abolished cellulose binding""","2","2","100","6.70057378638139e-05","0.00891176313588725","8620676,8620794"
"aberrant culmination","aberrant culmination","""aberrant culmination""","89","6","6.74","8.22237264764199e-05","0.00911312968446987","8617212,8620980,8622156,8624008,8628077,8628957"
"aberrant oscillatory cAMP signaling","aberrant oscillatory cAMP signaling","""aberrant oscillatory cAMP signaling""","97","6","6.19","0.0001329318412442","0.012628524918199","8616495,8617212,8620980,8624008,8625569,8628957"
"aberrant fruiting body morphogenesis","aberrant fruiting body morphogenesis","""aberrant fruiting body morphogenesis""","101","6","5.94","0.000166233406385192","0.0138181519057691","3385372,8622088,8622760,8623058,8624008,8625569"
"increased protein localization to cell cortex","increased protein localization to cell cortex","""increased protein localization to cell cortex""","3","2","66.67","0.000199950700469643","0.0147741350902569","8625569,8628077"
"abolished vegetative growth","abolished vegetative growth","""abolished vegetative growth""","38","4","10.53","0.000249482197203039","0.0165905661140021","8617398,8620083,8625513,8628077"
"decreased stalk cell differentiation","decreased stalk cell differentiation","""decreased stalk cell differentiation""","4","2","50","0.000397780863330895","0.0220436895095871","8628077,8628444"
"precocious prestalk gene expression","precocious prestalk gene expression","""precocious prestalk gene expression""","4","2","50","0.000397780863330895","0.0220436895095871","8625513,8628444"
"decreased sporulation","decreased sporulation","""decreased sporulation""","79","5","6.33","0.00045193569405386","0.0231182489650628","8616333,8617276,8620083,8622088,8622433"
"decreased gene expression","decreased gene expression","""decreased gene expression""","86","5","5.81","0.000668499793909477","0.0296368241966535","8620128,8622088,8623058,8624008,8628076"
"delayed slug development","delayed slug development","""delayed slug development""","5","2","40","0.000659454563135125","0.0296368241966535","8625569,8626981"
"aberrant development of tipped mound","aberrant development of tipped mound","""aberrant development of tipped mound""","6","2","33.33","0.000983942371478334","0.0408951048145682","8625569,8627162"
"abolished protein localization to cell cortex","abolished protein localization to cell cortex","""abolished protein localization to cell cortex""","7","2","28.57","0.00137022696978412","0.0506222741614688","8617398,8625569"
"delayed prestalk gene expression","delayed prestalk gene expression","""delayed prestalk gene expression""","7","2","28.57","0.00137022696978412","0.0506222741614688","8625513,8628444"
"delayed culmination","delayed culmination","""delayed culmination""","29","3","10.34","0.0016735112306527","0.0585728930728446","8623058,8623096,8626981"
"decreased growth rate","decreased growth rate","""decreased growth rate""","159","6","3.77","0.00185552059466473","0.0616960597726022","8617398,8620083,8620128,8627162,8628077,8628615"
"decreased mound size","decreased mound size","""decreased mound size""","33","3","9.09","0.00244125059480386","0.0773062688354555","8624008,8625569,8628076"
"delayed development","delayed development","""delayed development""","74","4","5.41","0.00312247025457456","0.094383759967822","8617104,8617398,8628076,8628615"
"decreased cell motility","decreased cell motility","""decreased cell motility""","78","4","5.13","0.00377793626878894","0.109231635597593","8617212,8627162,8628076,8628077"
"aberrant hyperosmotic response","aberrant hyperosmotic response","""aberrant hyperosmotic response""","13","2","15.38","0.0049301921656077","0.136607407922047","8628077,8628615"
