pathway	description	genes_in_pathway	matches	%_match	pValue	adj.pValue	overlap
development arrests at mound stage	"development arrests at mound stage"	56	5	8.93	6.08120731317745e-05	0.0181565027959233	8617780,8618358,8620948,8622683,8624865
increased mound size	"increased mound size"	31	4	12.9	8.19090351695789e-05	0.0181565027959233	8617116,8620520,8620686,8629459
aberrant fruiting body morphogenesis	"aberrant fruiting body morphogenesis"	101	5	4.95	0.00097397574929733	0.127133120530795	8617780,8619342,8620948,8622760,8626508
aberrant oscillatory cAMP signaling	"aberrant oscillatory cAMP signaling"	97	5	5.15	0.000810831060573377	0.127133120530795	8617131,8621440,8621724,8622683,8629315
decreased growth rate	"decreased growth rate"	159	6	3.77	0.00123659513385513	0.127133120530795	8616748,8617780,8620840,8626305,8626508,8629459
delayed culmination	"delayed culmination"	29	3	10.34	0.00133824337400837	0.127133120530795	8626236,8626345,8629215
aberrant culmination	"aberrant culmination"	89	4	4.49	0.00459019910718805	0.267747858017132	8622156,8626305,8628187,8629315
aberrant sorocarp development	"aberrant sorocarp development"	52	3	5.77	0.0071551746080563	0.267747858017132	8620948,8626236,8629357
aberrant vegetative growth	"aberrant vegetative growth"	46	3	6.52	0.00507498342543818	0.267747858017132	8617131,8618769,8621724
abolished cell-cell self recognition	"abolished cell-cell self recognition"	1	1	100	0.00764993880048948	0.267747858017132	8622683
abolished chemotaxis to cAMP	"abolished chemotaxis to cAMP"	16	2	12.5	0.00642743180102648	0.267747858017132	8616748,8620948
abolished translation	"abolished translation"	1	1	100	0.00764993880048948	0.267747858017132	8618175
decreased actin nucleation	"decreased actin nucleation"	1	1	100	0.00764993880048948	0.267747858017132	8629357
decreased chemotaxis to folate	"decreased chemotaxis to folate"	14	2	14.29	0.00492192418321352	0.267747858017132	8616748,8620948
decreased glucose level	"decreased glucose level"	1	1	100	0.00764993880048948	0.267747858017132	8629459
decreased spore germination	"decreased spore germination"	42	3	7.14	0.00392109383870627	0.267747858017132	8616333,8618175,8626962
decreased translation	"decreased translation"	1	1	100	0.00764993880048948	0.267747858017132	8626305
increased cell-cell adhesion	"increased cell-cell adhesion"	13	2	15.38	0.00423943924954293	0.267747858017132	8617116,8620686
precocious aggregation	"precocious aggregation"	20	2	10	0.00998041040119093	0.331848645839598	8626305,8629357
development arrests at loose mound stage	"development arrests at loose mound stage"	21	2	9.52	0.0109774505369933	0.347619267004788	8620840,8622683
abolished pinocytosis	"abolished pinocytosis"	2	1	50	0.0152425176926052	0.389856702522402	8620840
decreased chemotaxis to cAMP	"decreased chemotaxis to cAMP"	66	3	4.55	0.0137495623469287	0.389856702522402	8616748,8620948,8626698
decreased protein level	"decreased protein level"	24	2	8.33	0.0142187068116126	0.389856702522402	8618175,8627480
delayed sporulation	"delayed sporulation"	2	1	50	0.0152425176926052	0.389856702522402	8622683
increased rate of endocytosis	"increased rate of endocytosis"	2	1	50	0.0152425176926052	0.389856702522402	8616748
aberrant standing slug morphology	"aberrant standing slug morphology"	3	1	33.33	0.0227781580530843	0.40939121906219	8622683
decreased ammonia level	"decreased ammonia level"	3	1	33.33	0.0227781580530843	0.40939121906219	8621332
decreased cell motility	"decreased cell motility"	78	3	3.85	0.0214466785539932	0.40939121906219	8617116,8622683,8629459
decreased engulfment during phagocytosis	"decreased engulfment during phagocytosis"	3	1	33.33	0.0227781580530843	0.40939121906219	8620948
decreased fruiting body size	"decreased fruiting body size"	77	3	3.9	0.0207314920925345	0.40939121906219	8622683,8628187,8628979
