row_IDs,X,b_0,b_1,b_2,b_3,d_0,d_1,d_2,d_3,AveExpr,F,P.Value,adj.P.Val,Regulation
DDB_G0295739,DDB_G0295739,0.003389083,-0.002216403,-0.004527079,-0.00201469,0.004379363,-0.003468857,-0.008812129,-0.001537168,0.001890201,105.8119999,1.14E-16,1.46E-12,Upregulated
DDB_G0274337,DDB_G0274337,3.70E-05,-5.34E-06,-1.60E-05,2.20E-05,0.000227278,-0.000176005,-0.000405784,-9.93E-05,6.15E-05,87.28419223,1.44E-15,9.27E-12,Upregulated
DDB_G0292328,DDB_G0292328,0.001456635,-0.000865488,-0.002394687,-0.000663027,-0.000923263,0.000608803,0.001490295,0.00055108,0.000338155,79.0513506,5.26E-15,2.25E-11,Downregulated
DDB_G0273449,DDB_G0273449,5.52E-05,0.002128333,0.000956335,-0.000380015,0.004968244,-0.011726269,0.000384169,-0.007905898,0.002363035,76.1363428,8.57E-15,2.75E-11,Upregulated
DDB_G0271184,DDB_G0271184,0.000355482,0.000107105,0.001295212,-0.000562367,-0.000344541,-0.000105852,-0.001291545,0.000560925,0.000411159,73.30062768,1.40E-14,3.59E-11,Downregulated
DDB_G0271428,DDB_G0271428,0.000154053,5.19E-05,8.86E-05,-0.000202136,-0.000142742,-5.53E-05,-8.61E-05,0.000202416,0.000100191,62.40964815,1.10E-13,2.35E-10,Downregulated
DDB_G0271162,DDB_G0271162,0.012787555,0.003604578,0.007363576,-0.011732931,-0.009371029,-0.003217206,-0.008966811,0.011318216,0.009422691,60.3105794,1.69E-13,2.59E-10,Downregulated
DDB_G0286647,DDB_G0286647,0.002282332,0.06826158,0.019878304,0.033529519,-0.002257637,-0.068235815,-0.019821151,-0.033573482,0.008318477,60.78383892,1.53E-13,2.59E-10,Downregulated
DDB_G0269740,DDB_G0269740,-0.000136822,-0.005321603,0.033618336,0.050127006,-0.000115875,0.003626794,-0.019946466,-0.032297404,0.009237735,59.96663769,1.82E-13,2.59E-10,Downregulated
DDB_G0282737,DDB_G0282737,3.96E-05,9.62E-06,-1.16E-06,-2.89E-05,0.000364782,-0.000231248,-0.000749282,-8.71E-05,7.61E-05,54.53437279,6.00E-13,7.70E-10,Upregulated
