row_IDs,X,b_0,b_1,b_2,b_3,d_0,d_1,d_2,d_3,AveExpr,F,P.Value,adj.P.Val,Regulation
DDB_G0280537,DDB_G0280537,0.000423898,-0.015373898,0.12067085,0.184634928,0.000137639,0.015331139,-0.121085176,-0.184760488,0.022423112,440.8073512,3.56E-25,4.57E-21,Downregulated
DDB_G0286061,DDB_G0286061,-0.000189476,-0.004972632,0.021637843,0.03133206,0.000228085,0.005120175,-0.021531592,-0.031233584,0.003737447,346.4153328,1.03E-23,6.63E-20,Downregulated
DDB_G0286925,DDB_G0286925,0.000792041,0.009288593,0.097531655,0.136802021,-0.000483949,-0.005323921,-0.090739642,-0.137745072,0.021048957,300.6284627,7.44E-23,3.18E-19,Downregulated
DDB_G0287529,DDB_G0287529,2.92E-05,-0.004436977,0.035458821,0.054397406,-1.98E-05,0.004519203,-0.03541647,-0.054398035,0.006505286,268.865428,3.50E-22,1.12E-18,Downregulated
DDB_G0267378,DDB_G0267378,-0.000911491,-0.020099649,0.064228202,0.091595096,0.000921855,0.020256566,-0.064130436,-0.09161229,0.010444185,230.5890865,2.93E-21,7.51E-18,Downregulated
DDB_G0286499,DDB_G0286499,-0.002444554,-0.045200471,0.111423228,0.152445387,0.002464325,0.045442019,-0.11134067,-0.152432596,0.01693211,225.136767,4.07E-21,8.70E-18,Downregulated
DDB_G0286647,DDB_G0286647,-0.000136822,-0.005321603,0.033618336,0.050127006,0.000149276,0.005472834,-0.033554138,-0.050094999,0.006008442,211.2663882,9.77E-21,1.79E-17,Downregulated
DDB_G0277275,DDB_G0277275,-1.64E-05,-0.00065969,0.002654461,0.003778883,3.33E-05,0.000681375,-0.002652547,-0.003774555,0.000461831,156.0227293,6.16E-19,9.88E-16,Downregulated
DDB_G0275195,DDB_G0275195,0.000127748,0.00026692,0.004589019,0.007523991,-4.88E-05,-0.00024719,-0.00457595,-0.007489924,0.001004742,153.067912,7.99E-19,1.14E-15,Downregulated
DDB_G0269124,DDB_G0269124,0.000446476,0.008828942,0.062859573,0.096146623,-0.000393986,-0.008600438,-0.062560001,-0.09589047,0.012875725,121.5147659,1.80E-17,2.31E-14,Downregulated
DDB_G0275295,DDB_G0275295,0.002840283,0.000140554,0.021217266,0.039104562,0.000687029,-0.000560837,-0.026001573,-0.038958548,0.006448604,115.2608555,3.65E-17,4.26E-14,Downregulated
DDB_G0280933,DDB_G0280933,-0.004270027,-0.075006548,0.180128883,0.243877331,0.004310955,0.07521466,-0.180018733,-0.243869422,0.027049304,112.3549877,5.14E-17,5.49E-14,Downregulated
DDB_G0286605,DDB_G0286605,-0.000112709,-0.003060417,0.008141977,0.01129683,0.000177526,0.003083866,-0.008206711,-0.011285161,0.001308046,104.4621749,1.35E-16,1.34E-13,Downregulated
DDB_G0283675,DDB_G0283675,-0.000158953,-0.002926818,0.00846035,0.011620734,0.000164605,0.002992602,-0.008397697,-0.011607349,0.0013484,102.2329148,1.80E-16,1.65E-13,Downregulated
DDB_G0270190,DDB_G0270190,0.000994088,0.012476406,0.034429107,0.055289443,-0.000801511,-0.012447254,-0.033471663,-0.055454872,0.008162098,100.4550948,2.28E-16,1.95E-13,Downregulated
DDB_G0288369,DDB_G0288369,-4.51E-05,-0.00121517,0.0022625,0.002929344,7.56E-05,0.001253362,-0.002270524,-0.002924009,0.000340192,98.69796801,2.87E-16,2.30E-13,Downregulated
DDB_G0284287,DDB_G0284287,1.28E-06,-0.000302615,0.001671217,0.002429892,1.54E-05,0.000330198,-0.001652394,-0.002412138,0.000311883,92.40876065,6.85E-16,5.17E-13,Downregulated
DDB_G0281391,DDB_G0281391,6.37E-05,0.000155378,0.002286712,0.003214457,-1.37E-05,-2.89E-05,-0.002105777,-0.003130218,0.000539797,90.35010639,9.21E-16,5.91E-13,Downregulated
DDB_G0281917,DDB_G0281917,0.00011063,0.00676558,0.004704893,0.005798439,-0.000224591,-0.006292824,-0.00330423,-0.005793098,0.001595614,90.41899886,9.12E-16,5.91E-13,Downregulated
DDB_G0267620,DDB_G0267620,-0.000102879,-0.001816984,0.003614782,0.004452788,0.000128197,0.001840399,-0.003430669,-0.004439525,0.000552929,90.45619018,9.07E-16,5.91E-13,Downregulated
DDB_G0287701,DDB_G0287701,8.18E-05,-7.59E-05,0.007497615,0.011581772,-3.94E-06,0.000187828,-0.007513481,-0.0115115,0.001512661,85.26116663,1.97E-15,1.20E-12,Downregulated
DDB_G0291476,DDB_G0291476,0.001692587,0.011816654,0.080483305,0.134849129,-0.001652844,-0.011658742,-0.080413196,-0.134861518,0.017125314,83.33522882,2.66E-15,1.55E-12,Downregulated
DDB_G0280847,DDB_G0280847,-0.000665676,-0.027892201,0.142019849,0.21251253,0.000704327,0.028089305,-0.141960536,-0.212511106,0.02492352,82.69443336,2.94E-15,1.64E-12,Downregulated
DDB_G0281951,DDB_G0281951,-4.38E-05,-0.001457696,0.008449864,0.011521095,6.73E-05,0.001528014,-0.007893341,-0.011596156,0.001591719,81.95527349,3.30E-15,1.76E-12,Downregulated
DDB_G0293186,DDB_G0293186,-8.66E-05,-0.001535452,0.002656612,0.003340028,9.77E-05,0.001546451,-0.002642842,-0.003328877,0.00036418,79.04064334,5.29E-15,2.71E-12,Downregulated
DDB_G0288153,DDB_G0288153,-7.38E-05,-0.001684321,0.005361709,0.007599497,8.29E-05,0.001712738,-0.005352266,-0.007595827,0.000276995,78.09410921,6.18E-15,2.74E-12,Downregulated
DDB_G0274309,DDB_G0274309,0.000631434,0.00571963,0.024466112,0.040145772,-0.000614309,-0.005371337,-0.023483227,-0.040017976,0.005584109,78.18965966,6.09E-15,2.74E-12,Downregulated
DDB_G0271934,DDB_G0271934,0.00025366,-6.40E-05,0.002435942,0.002787782,5.15E-05,1.72E-05,-0.00201921,-0.00298642,0.000877529,78.12668031,6.15E-15,2.74E-12,Downregulated
DDB_G0293148,DDB_G0293148,1.09E-05,-4.79E-05,0.001372548,0.002056175,1.24E-06,6.92E-05,-0.001339229,-0.002070905,0.000796195,78.39533304,5.88E-15,2.74E-12,Downregulated
DDB_G0286573,DDB_G0286573,1.30E-05,-0.000404923,0.000714638,0.000877802,2.16E-05,0.000386,-0.000684654,-0.00089901,0.009247877,74.04295474,1.23E-14,5.10E-12,Downregulated
DDB_G0289669,DDB_G0289669,0.000212081,0.00020234,0.008155378,0.012755125,-4.11E-05,-0.000284403,-0.008119712,-0.012737268,0.001763929,74.15124132,1.21E-14,5.10E-12,Downregulated
DDB_G0292218,DDB_G0292218,0.001219299,0.010164688,0.041176906,0.071593736,-0.001188678,-0.010040866,-0.041103376,-0.071553898,0.004966196,72.94474478,1.49E-14,5.99E-12,Downregulated
DDB_G0283493,DDB_G0283493,-6.78E-05,-0.001311097,0.002750863,0.003646459,8.05E-05,0.001342488,-0.002751179,-0.003642,0.000409342,72.75068887,1.55E-14,6.01E-12,Downregulated
DDB_G0281383,DDB_G0281383,-0.000684235,-0.012936943,0.032460691,0.044657505,0.000699571,0.012983283,-0.032443183,-0.044659772,0.01510263,70.93919484,2.14E-14,8.08E-12,Downregulated
DDB_G0274539,DDB_G0274539,0.009764395,0.005391248,0.025598953,0.042181379,0.001140013,-0.004874129,-0.02867756,-0.04133507,0.000136167,70.19661714,2.45E-14,8.73E-12,Downregulated
DDB_G0269092,DDB_G0269092,0.000372884,0.006462422,0.006724137,0.010994771,-0.000303997,-0.006365682,-0.00634774,-0.010972722,0.002002081,70.29543775,2.41E-14,8.73E-12,Downregulated
DDB_G0273229,DDB_G0273229,4.34E-05,-0.00117745,0.014112227,0.021744474,-2.42E-05,0.001215944,-0.014093779,-0.021741685,0.000186575,69.85752975,2.61E-14,8.80E-12,Downregulated
DDB_G0278731,DDB_G0278731,1.50E-05,0.00019096,0.000832344,0.001241861,-1.01E-06,-0.000164698,-0.000830971,-0.001234543,0.002652782,69.90303219,2.59E-14,8.80E-12,Downregulated
DDB_G0292030,DDB_G0292030,-1.31E-05,-0.000606423,0.001598235,0.001977317,4.34E-05,0.000723712,-0.001445545,-0.001882188,0.000406375,67.42488742,4.11E-14,1.35E-11,Downregulated
DDB_G0279361,DDB_G0279361,2.40E-05,-2.33E-05,0.002036488,0.003188133,-1.16E-05,3.75E-05,-0.002031477,-0.003191034,0.000303497,66.03801295,5.36E-14,1.72E-11,Downregulated
DDB_G0272530,DDB_G0272530,0.000798072,0.005852287,0.019051881,0.033825582,-0.000636298,-0.005956314,-0.018870461,-0.033797365,0.00456827,64.50253369,7.23E-14,2.26E-11,Downregulated
DDB_G0285283,DDB_G0285283,0.000137754,0.000848637,0.003790818,0.006387313,-0.000100153,-0.000727021,-0.003681507,-0.006375375,0.000898162,64.37983287,7.41E-14,2.26E-11,Downregulated
DDB_G0283837,DDB_G0283837,0.001548196,0.04871712,0.011161023,0.020591695,-0.001513095,-0.046787969,-0.010504929,-0.02038516,5.05E-05,62.78014178,1.02E-13,3.04E-11,Downregulated
DDB_G0289267,DDB_G0289267,-0.000202233,-0.003364547,0.006429127,0.008229898,0.00022142,0.003861983,-0.006333607,-0.008146787,0.006363308,62.41448673,1.10E-13,3.20E-11,Downregulated
