row_IDs,X,b_0,b_1,b_2,b_3,d_0,d_1,d_2,d_3,AveExpr,F,P.Value,adj.P.Val,Regulation
DDB_G0277703,DDB_G0277703,0.000119593,0.003725637,0.001936676,0.00136517,-7.35E-05,-0.003299827,-0.001462853,-0.001094032,0.000789502,73.54819934,1.35E-14,1.73E-10,Downregulated
DDB_G0286427,DDB_G0286427,0.093360506,-0.04430307,-0.164879148,-0.030531492,-0.048651203,0.013422919,0.091080154,0.011820285,0.022001085,68.59965435,3.30E-14,2.12E-10,Downregulated
DDB_G0295739,DDB_G0295739,0.003389083,-0.002216403,-0.004527079,-0.00201469,-0.002305142,0.001364792,0.003121712,0.001269378,0.00097447,58.65345729,2.42E-13,1.03E-09,Downregulated
DDB_G0269454,DDB_G0269454,0.008497135,-0.001102125,-0.010440013,-0.003884501,-0.00507186,-0.00018534,0.007632126,0.001361468,0.003426547,53.7555874,7.21E-13,2.31E-09,Downregulated
DDB_G0292654,DDB_G0292654,-6.78E-05,-0.001311097,0.002750863,0.003646459,8.88E-05,0.001567544,-0.002460389,-0.003138099,0.001189739,44.4667395,7.46E-12,1.60E-08,Downregulated
DDB_G0283493,DDB_G0283493,0.00152717,0.001692392,-0.00051081,9.39E-05,-0.000757658,-0.001186715,0.000442418,-0.000336077,0.000482543,44.56148888,7.27E-12,1.60E-08,Downregulated
DDB_G0277451,DDB_G0277451,0.007044289,0.003548126,-0.001050146,-0.004204073,-0.003183771,-0.00385541,0.000908249,0.000240243,0.005370054,43.87469405,8.78E-12,1.61E-08,Downregulated
DDB_G0272959,DDB_G0272959,1.46E-05,0.000774139,0.000451131,0.000331187,-2.37E-05,-0.000510739,-0.000202246,-0.000273798,0.000196534,41.91708738,1.52E-11,2.26E-08,Downregulated
DDB_G0283157,DDB_G0283157,0.005447054,0.003645565,0.001448324,-0.001286069,-0.002497938,-0.002982913,-0.000331025,-0.001023564,0.004886179,41.77472082,1.59E-11,2.26E-08,Downregulated
DDB_G0280543,DDB_G0280543,0.010443157,-0.007277666,-0.015983288,-0.005459502,-0.009325675,0.005779099,0.014784703,0.004598583,0.002147342,40.33008416,2.42E-11,3.11E-08,Downregulated
DDB_G0295681,DDB_G0295681,0.005833963,-0.002230339,-0.008284059,-0.00243684,-0.002418056,0.000464805,0.003484769,0.000729413,0.002039786,39.16488489,3.44E-11,4.01E-08,Downregulated
DDB_G0272342,DDB_G0272342,0.001730995,0.004379362,0.001134554,0.000749722,-0.001117643,-0.002529898,0.000317808,-0.000896846,0.002033114,38.51728226,4.19E-11,4.14E-08,Downregulated
DDB_G0294220,DDB_G0294220,0.023456464,0.008571126,-0.027987364,-0.003989109,-0.009831101,-0.007951209,0.011307655,-0.001088589,6.23E-05,38.61139876,4.07E-11,4.14E-08,Downregulated
DDB_G0288105,DDB_G0288105,0.009764395,0.005391248,0.025598953,0.042181379,-0.005264138,0.000413711,-0.013123332,-0.029215319,0.011251308,38.26366357,4.53E-11,4.15E-08,Downregulated
DDB_G0281383,DDB_G0281383,0.000372884,0.006462422,0.006724137,0.010994771,-0.00041187,-0.004585915,-0.004519628,-0.009833796,0.015085996,37.4948812,5.77E-11,4.93E-08,Downregulated
