row_IDs,X,b_0,b_1,b_2,b_3,d_0,d_1,d_2,d_3,AveExpr,F,P.Value,adj.P.Val,Regulation
DDB_G0280537,DDB_G0280537,0.000423898,-0.015373898,0.12067085,0.184634928,3.05E-05,0.016150428,-0.120824758,-0.184487616,0.022470987,437.5612271,3.97E-25,5.09E-21,Downregulated
DDB_G0286061,DDB_G0286061,-0.000189476,-0.004972632,0.021637843,0.03133206,0.00022994,0.005340631,-0.021524875,-0.031207541,0.003754086,345.2662415,1.09E-23,6.97E-20,Downregulated
DDB_G0286925,DDB_G0286925,0.000792041,0.009288593,0.097531655,0.136802021,-0.000165154,-0.004142986,-0.09140982,-0.137644674,0.021169433,296.0914316,9.22E-23,3.94E-19,Downregulated
DDB_G0287529,DDB_G0287529,2.92E-05,-0.004436977,0.035458821,0.054397406,2.83E-06,0.004726659,-0.035465471,-0.054316486,0.006522557,267.5838216,3.75E-22,1.20E-18,Downregulated
DDB_G0267378,DDB_G0267378,-0.000911491,-0.020099649,0.064228202,0.091595096,0.000956623,0.020596675,-0.064213407,-0.091433779,0.010470544,229.3463921,3.16E-21,8.12E-18,Downregulated
DDB_G0286499,DDB_G0286499,-0.002444554,-0.045200471,0.111423228,0.152445387,0.002527784,0.046022187,-0.111419705,-0.15219803,0.016991423,224.0678058,4.36E-21,9.32E-18,Downregulated
DDB_G0286647,DDB_G0286647,-0.000136822,-0.005321603,0.033618336,0.050127006,0.000179752,0.005717559,-0.033585049,-0.050004534,0.006035225,210.09249,1.06E-20,1.94E-17,Downregulated
DDB_G0277275,DDB_G0277275,-1.64E-05,-0.00065969,0.002654461,0.003778883,2.97E-05,0.000682087,-0.002638179,-0.003774036,0.000461528,155.5554372,6.44E-19,1.03E-15,Downregulated
DDB_G0275195,DDB_G0275195,0.000127748,0.00026692,0.004589019,0.007523991,-5.61E-05,-0.000206641,-0.004549152,-0.007481265,0.001008277,152.1554562,8.69E-19,1.24E-15,Downregulated
DDB_G0269124,DDB_G0269124,0.000446476,0.008828942,0.062859573,0.096146623,-0.000365705,-0.008182009,-0.062595792,-0.095771574,0.012913218,121.0114288,1.91E-17,2.45E-14,Downregulated
DDB_G0275295,DDB_G0275295,0.002840283,0.000140554,0.021217266,0.039104562,0.000162713,-0.000495854,-0.024862935,-0.038832946,0.00638932,114.3180185,4.09E-17,4.76E-14,Downregulated
DDB_G0280933,DDB_G0280933,-0.004270027,-0.075006548,0.180128883,0.243877331,0.004367933,0.076154419,-0.180139735,-0.243545484,0.027120304,112.0751922,5.32E-17,5.69E-14,Downregulated
DDB_G0286605,DDB_G0286605,-0.000112709,-0.003060417,0.008141977,0.01129683,0.000158797,0.003127553,-0.008163646,-0.011267369,0.001308306,104.1781321,1.41E-16,1.39E-13,Downregulated
DDB_G0283675,DDB_G0283675,-0.000158953,-0.002926818,0.00846035,0.011620734,0.000170454,0.003050652,-0.008409069,-0.01156595,0.001352122,101.6700662,1.94E-16,1.78E-13,Downregulated
DDB_G0270190,DDB_G0270190,0.000994088,0.012476406,0.034429107,0.055289443,-0.000816242,-0.012094971,-0.033516523,-0.05530776,0.00817153,100.0484926,2.41E-16,2.06E-13,Downregulated
DDB_G0288369,DDB_G0288369,-4.51E-05,-0.00121517,0.0022625,0.002929344,7.47E-05,0.001231962,-0.002267952,-0.002925004,0.000340588,98.27651792,3.05E-16,2.44E-13,Downregulated
DDB_G0281917,DDB_G0281917,1.28E-06,-0.000302615,0.001671217,0.002429892,1.01E-05,0.000340068,-0.00164696,-0.002415488,0.001599047,92.5208858,6.76E-16,4.85E-13,Downregulated
DDB_G0284287,DDB_G0284287,0.00011063,0.00676558,0.004704893,0.005798439,-0.000218463,-0.006083872,-0.003375385,-0.005834048,0.00031098,92.46990605,6.80E-16,4.85E-13,Downregulated
DDB_G0267620,DDB_G0267620,-0.000102879,-0.001816984,0.003614782,0.004452788,0.000130461,0.001892929,-0.003489502,-0.004440505,0.000548585,91.3450262,7.99E-16,5.40E-13,Downregulated
DDB_G0281391,DDB_G0281391,6.37E-05,0.000155378,0.002286712,0.003214457,-4.86E-06,-5.51E-05,-0.00212339,-0.003120831,0.000539337,89.75784866,1.01E-15,6.45E-13,Downregulated
DDB_G0287701,DDB_G0287701,8.18E-05,-7.59E-05,0.007497615,0.011581772,-1.98E-05,0.000257391,-0.00752252,-0.011483048,0.001506483,85.31810442,1.96E-15,1.20E-12,Downregulated
DDB_G0291476,DDB_G0291476,0.001692587,0.011816654,0.080483305,0.134849129,-0.001611593,-0.011110196,-0.080473241,-0.134699794,0.017172336,83.06169023,2.78E-15,1.62E-12,Downregulated
DDB_G0280847,DDB_G0280847,-0.000665676,-0.027892201,0.142019849,0.21251253,0.000745003,0.028926893,-0.142018809,-0.21221573,0.024990287,82.4589235,3.05E-15,1.63E-12,Downregulated
DDB_G0281951,DDB_G0281951,-4.38E-05,-0.001457696,0.008449864,0.011521095,8.13E-05,0.001511779,-0.007930538,-0.011644525,0.001590825,82.52559569,3.02E-15,1.63E-12,Downregulated
DDB_G0293148,DDB_G0293148,0.00025366,-6.40E-05,0.002435942,0.002787782,8.00E-06,7.93E-05,-0.001877988,-0.003023906,0.000803365,79.26712619,5.10E-15,2.62E-12,Downregulated
DDB_G0293186,DDB_G0293186,-8.66E-05,-0.001535452,0.002656612,0.003340028,9.44E-05,0.001563318,-0.002635339,-0.003329036,0.000364634,79.02423991,5.31E-15,2.62E-12,Downregulated
DDB_G0271934,DDB_G0271934,-7.38E-05,-0.001684321,0.005361709,0.007599497,8.45E-05,0.00173548,-0.005356438,-0.007579772,0.000878935,77.85893867,6.44E-15,2.95E-12,Downregulated
DDB_G0274309,DDB_G0274309,0.000631434,0.00571963,0.024466112,0.040145772,-0.000583526,-0.005202279,-0.023564502,-0.039951433,0.005597771,77.86262537,6.44E-15,2.95E-12,Downregulated
