"","pathway","description","genes_in_pathway","matches","%_match","pValue","adj.pValue","overlap"
"GO:0071554","GO:0071554","""cell wall organization or biogenesis""","17","6","35.29","2.24199200348644e-06","0.000284639568109299","8617212,8620676,8620782,8620794,8620983,8621393"
"GO:0050896","GO:0050896","""response to stimulus""","754","37","4.91","3.68932628686344e-05","0.00449655087842916","8615885,8615939,8616670,8617104,8617301,8617308,8617472,8618108,8618391,8618513,8618665,8618706,8620128,8620966,8620983,8621425,8621449,8621827,8622088,8622253,8623081,8623104,8623323,8624075,8624635,8625513,8626513,8626571,8627224,8627992,8628117,8628675,8628964,8629014,8629083,8629223,8629399"
"GO:0009987","GO:0009987","""cellular process""","2538","88","3.47","6.8757702118933e-05","0.00805787378293803","8615885,8615939,8616025,8616333,8616467,8616670,8616702,8616794,8617104,8617212,8617301,8617326,8617472,8617758,8617837,8617905,8617933,8617952,8618108,8618391,8618513,8618665,8618706,8618840,8619679,8620083,8620128,8620200,8620218,8620371,8620676,8620782,8620794,8620836,8620966,8620983,8620997,8621274,8621351,8621371,8621393,8621425,8621449,8621587,8621778,8621827,8622055,8622088,8622126,8622253,8622433,8622478,8622637,8623081,8623096,8623104,8623273,8623300,8623323,8623482,8623801,8624075,8624635,8624665,8624698,8625237,8625405,8625513,8625523,8625736,8625746,8625750,8626255,8626513,8626571,8626671,8627224,8627397,8627992,8628031,8628117,8628675,8628764,8629014,8629083,8629223,8629399,8629462"
"GO:0048523","GO:0048523","""negative regulation of cellular process""","119","11","9.24","0.000180000364848561","0.0203133745071691","8615885,8616025,8617472,8618391,8618513,8624075,8626571,8627992,8628117,8629014,8629223"
"GO:0009991","GO:0009991","""response to extracellular stimulus""","166","13","7.83","0.000251076017266233","0.0263802974003522","8616670,8617472,8618108,8620128,8620983,8622253,8624075,8625513,8627992,8628117,8628675,8629014,8629223"
"GO:0031667","GO:0031667","""response to nutrient levels""","166","13","7.83","0.000251076017266233","0.0263802974003522","8616670,8617472,8618108,8620128,8620983,8622253,8624075,8625513,8627992,8628117,8628675,8629014,8629223"
"GO:0022607","GO:0022607","""cellular component assembly""","224","15","6.7","0.000466564121979079","0.0473873626556751","8615885,8616670,8616794,8617212,8617301,8618665,8620676,8620782,8620794,8620983,8621274,8621393,8627224,8629083,8629223"
"GO:0048583","GO:0048583","""regulation of response to stimulus""","155","12","7.74","0.000483771869998825","0.0475500931576264","8617472,8618108,8618391,8618513,8620128,8624075,8625513,8626571,8627992,8628117,8629014,8629223"
"GO:0000003","GO:0000003","""reproduction""","94","9","9.57","0.00054208656475336","0.0502927993109845","8617301,8620128,8622126,8623801,8624075,8624758,8627992,8628117,8629223"
"GO:0009605","GO:0009605","""response to external stimulus""","303","18","5.94","0.000544687357158677","0.0502927993109845","8615885,8616670,8617472,8618108,8618665,8620128,8620966,8620983,8622253,8624075,8625513,8627224,8627992,8628117,8628675,8629014,8629083,8629223"
