"","pathway","description","genes_in_pathway","matches","%_match","pValue","adj.pValue","overlap"
"GO:0015399","GO:0015399","""primary active transmembrane transporter activity""","88","13","14.77","5.23965912363214e-06","0.000262474174224448","8618907,8619464,8620054,8621025,8621140,8621253,8623033,8623096,8624654,8625973,8626872,8628392,8629215"
"GO:0022804","GO:0022804","""active transmembrane transporter activity""","96","13","13.54","1.39410705360031e-05","0.000677198062703425","8618907,8619464,8620054,8621025,8621140,8621253,8623033,8623096,8624654,8625973,8626872,8628392,8629215"
"GO:0004812","GO:0004812","""aminoacyl-tRNA ligase activity""","37","8","21.62","2.10918012971764e-05","0.000966004499410681","8616928,8618472,8618670,8619731,8622192,8625991,8626140,8626539"
"GO:0016875","GO:0016875","""ligase activity, forming carbon-oxygen bonds""","37","8","21.62","2.10918012971764e-05","0.000966004499410681","8616928,8618472,8618670,8619731,8622192,8625991,8626140,8626539"
"GO:0009055","GO:0009055","""electron transfer activity""","19","6","31.58","2.29905238722389e-05","0.00102371693797775","8620073,8621140,8621253,8621736,8623033,8626872"
"GO:0032553","GO:0032553","""ribonucleotide binding""","860","50","5.81","3.14126801344498e-05","0.00136093314204116","8615885,8616111,8616852,8616928,8617226,8617276,8617455,8617780,8618220,8618381,8618440,8618472,8618670,8619591,8619659,8619731,8620301,8620316,8620547,8620825,8621023,8621025,8621044,8621204,8621425,8621459,8621515,8621598,8622192,8623096,8623223,8624005,8624038,8625431,8625745,8625973,8625991,8626140,8626225,8626305,8626539,8626758,8626784,8626872,8627225,8628289,8628309,8628843,8629148,8629215"
"GO:0097367","GO:0097367","""carbohydrate derivative binding""","866","50","5.77","3.78699839523676e-05","0.00159751537567488","8615885,8616111,8616852,8616928,8617226,8617276,8617455,8617780,8618220,8618381,8618440,8618472,8618670,8619591,8619659,8619731,8620301,8620316,8620547,8620825,8621023,8621025,8621044,8621204,8621425,8621459,8621515,8621598,8622192,8623096,8623223,8624005,8624038,8625431,8625745,8625973,8625991,8626140,8626225,8626305,8626539,8626758,8626784,8626872,8627225,8628289,8628309,8628843,8629148,8629215"
"GO:0140657","GO:0140657","""ATP-dependent activity""","243","21","8.64","4.6318969103447e-05","0.00190382839673912","8616111,8617226,8617455,8617780,8618907,8619464,8619659,8620054,8620301,8620316,8621023,8621025,8621044,8623096,8623223,8624654,8625973,8626383,8628392,8629148,8629215"
"GO:0032555","GO:0032555","""purine ribonucleotide binding""","854","49","5.74","5.45531989917767e-05","0.00218621944959545","8615885,8616111,8616852,8616928,8617226,8617276,8617455,8617780,8618220,8618381,8618440,8618472,8618670,8619591,8619659,8619731,8620301,8620316,8620547,8620825,8621023,8621025,8621044,8621204,8621425,8621459,8621515,8621598,8622192,8623096,8623223,8624005,8624038,8625431,8625745,8625973,8625991,8626140,8626225,8626305,8626539,8626758,8626784,8627225,8628289,8628309,8628843,8629148,8629215"
"GO:0017076","GO:0017076","""purine nucleotide binding""","856","49","5.72","5.79723227769744e-05","0.00226657642467049","8615885,8616111,8616852,8616928,8617226,8617276,8617455,8617780,8618220,8618381,8618440,8618472,8618670,8619591,8619659,8619731,8620301,8620316,8620547,8620825,8621023,8621025,8621044,8621204,8621425,8621459,8621515,8621598,8622192,8623096,8623223,8624005,8624038,8625431,8625745,8625973,8625991,8626140,8626225,8626305,8626539,8626758,8626784,8627225,8628289,8628309,8628843,8629148,8629215"
"GO:0035639","GO:0035639","""purine ribonucleoside triphosphate binding""","835","48","5.75","6.33195584699212e-05","0.00241669648160199","8615885,8616111,8616852,8616928,8617226,8617455,8617780,8618220,8618381,8618440,8618472,8618670,8619591,8619659,8619731,8620301,8620316,8620547,8620825,8621023,8621025,8621044,8621204,8621425,8621459,8621515,8621598,8622192,8623096,8623223,8624005,8624038,8625431,8625745,8625973,8625991,8626140,8626225,8626305,8626539,8626758,8626784,8627225,8628289,8628309,8628843,8629148,8629215"
"GO:0016614","GO:0016614","""oxidoreductase activity, acting on CH-OH group of donors""","26","6","23.08","0.000160664740378859","0.0059894320657514","8617822,8618724,8624347,8628181,8628802,8629462"
"GO:0015453","GO:0015453","""oxidoreduction-driven active transmembrane transporter activity""","10","4","40","0.000208293969859567","0.00758852803829287","8621140,8621253,8623033,8626872"
"GO:0140101","GO:0140101","""catalytic activity, acting on a tRNA""","56","8","14.29","0.000452093411670125","0.0161045719757158","8616928,8618472,8618670,8619731,8622192,8625991,8626140,8626539"
"GO:0005515","GO:0005515","""protein binding""","531","32","6.03","0.000577507382424299","0.0201248768266554","8615885,8615954,8616791,8616852,8617007,8617276,8617382,8617398,8617765,8617780,8617781,8618907,8619464,8619591,8620301,8620316,8620756,8620939,8621023,8621459,8621982,8623223,8623694,8623999,8624067,8624941,8625745,8625973,8626225,8626732,8627033,8628392"
"GO:0016624","GO:0016624","""oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor""","6","3","50","0.000661294360691743","0.0225543587274226","8620524,8622529,8625523"
"GO:0033218","GO:0033218","""amide binding""","14","4","28.57","0.000894417928141955","0.0292602436492154","8617276,8617382,8625414,8628309"
"GO:0016903","GO:0016903","""oxidoreductase activity, acting on the aldehyde or oxo group of donors""","14","4","28.57","0.000894417928141955","0.0292602436492154","8620524,8622529,8625523,8628596"
"GO:0016616","GO:0016616","""oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor""","24","5","20.83","0.000956681223046623","0.0306712000108747","8617822,8618724,8628181,8628802,8629462"
"GO:0042626","GO:0042626","""ATPase-coupled transmembrane transporter activity""","78","9","11.54","0.00100069627267445","0.031453257354846","8618907,8619464,8620054,8621025,8623096,8624654,8625973,8628392,8629215"
"GO:0005201","GO:0005201","""extracellular matrix structural constituent""","2","2","100","0.00108726291628076","0.0328845746188312","8625736,8625746"
"GO:0004449","GO:0004449","""isocitrate dehydrogenase (NAD+) activity""","2","2","100","0.00108726291628076","0.0328845746188312","8617822,8629462"
