"","pathway","description","genes_in_pathway","matches","%_match","pValue","adj.pValue","overlap"
"aberrant stream morphology","aberrant stream morphology","""aberrant stream morphology""","73","6","8.22","7.9544803661265e-06","0.00143916099625628","8616495,8620736,8623948,8625542,8628576,8628596"
"decreased growth rate","decreased growth rate","""decreased growth rate""","159","8","5.03","8.65660749627837e-06","0.00143916099625628","8616704,8617398,8623694,8624671,8626305,8627033,8629023,8629459"
"delayed development","delayed development","""delayed development""","74","6","8.11","8.61309690124753e-06","0.00143916099625628","8617398,8618358,8622318,8624038,8626797,8627033"
"aberrant aggregation","aberrant aggregation","""aberrant aggregation""","62","5","8.06","5.3290578681818e-05","0.00672801996018452","8622682,8623483,8624038,8628576,8628596"
"aberrant cytokinesis","aberrant cytokinesis","""aberrant cytokinesis""","104","6","5.77","6.07039394903866e-05","0.00672801996018452","8617398,8617511,8620736,8624038,8626797,8629023"
"abolished aggregation","abolished aggregation","""abolished aggregation""","83","5","6.02","0.000215353352857681","0.0204585685214797","8616704,8621626,8624038,8627348,8628576"
"aberrant oscillatory cAMP signaling","aberrant oscillatory cAMP signaling","""aberrant oscillatory cAMP signaling""","97","5","5.15","0.000445816951880693","0.0370585341250826","8616495,8623948,8625542,8628576,8628596"
"decreased bleb assembly","decreased bleb assembly","""decreased bleb assembly""","6","2","33.33","0.000653129386652358","0.0482590046804242","8615885,8621626"
"increased mound size","increased mound size","""increased mound size""","31","3","9.68","0.00112187549508381","0.0746047204230733","8622682,8627189,8629459"
"decreased phagocytosis","decreased phagocytosis","""decreased phagocytosis""","71","4","5.63","0.00125057467415005","0.0756029234827076","8621982,8623694,8626797,8629023"
"delayed aggregation","delayed aggregation","""delayed aggregation""","73","4","5.48","0.00138728889774888","0.0768789264169169","8620846,8624038,8626767,8627189"
"decreased stalk width","decreased stalk width","""decreased stalk width""","9","2","22.22","0.00154748755766599","0.079159940449837","8624038,8627033"
"decreased cell motility","decreased cell motility","""decreased cell motility""","78","4","5.13","0.00177426684055645","0.0842776749264312","8615885,8622682,8626797,8629459"
"aberrant contractile vacuole organization","aberrant contractile vacuole organization","""aberrant contractile vacuole organization""","10","2","20","0.0019260948762342","0.0853902061797163","8626797,8627033"
"aberrant cellular homeostasis","aberrant cellular homeostasis","""aberrant cellular homeostasis""","11","2","18.18","0.00234406229776115","0.0974250892506977","8623694,8624038"
"aberrant cellular metabolic process","aberrant cellular metabolic process","""aberrant cellular metabolic process""","12","2","16.67","0.00280086705992744","0.109563329108926","8626211,8629459"
"decreased phototaxis","decreased phototaxis","""decreased phototaxis""","15","2","13.33","0.00439915219786743","0.15397032692536","8623694,8626698"
"increased number of tip-organizers","increased number of tip-organizers","""increased number of tip-organizers""","15","2","13.33","0.00439915219786743","0.15397032692536","8620846,8628596"
"aberrant pinocytosis","aberrant pinocytosis","""aberrant pinocytosis""","1","1","100","0.00673194614443096","0.159883720930235","8626797"
"abolished iron ion transport","abolished iron ion transport","""abolished iron ion transport""","1","1","100","0.00673194614443096","0.159883720930235","8620846"
"decreased glucose level","decreased glucose level","""decreased glucose level""","1","1","100","0.00673194614443096","0.159883720930235","8629459"
"decreased translation","decreased translation","""decreased translation""","1","1","100","0.00673194614443096","0.159883720930235","8626305"
"increased ammonia level","increased ammonia level","""increased ammonia level""","1","1","100","0.00673194614443096","0.159883720930235","8623694"
"increased autophagy","increased autophagy","""increased autophagy""","1","1","100","0.00673194614443096","0.159883720930235","8623694"
"increased defense response to bacterium","increased defense response to bacterium","""increased defense response to bacterium""","1","1","100","0.00673194614443096","0.159883720930235","8621982"
"increased glutamate level","increased glutamate level","""increased glutamate level""","1","1","100","0.00673194614443096","0.159883720930235","8623694"
"increased iron ion transport","increased iron ion transport","""increased iron ion transport""","1","1","100","0.00673194614443096","0.159883720930235","8620846"
"abolished gene expression","abolished gene expression","""abolished gene expression""","19","2","10.53","0.007043069116222","0.161504860768539","8622682,8628576"
"aberrant gene expression","aberrant gene expression","""aberrant gene expression""","22","2","9.09","0.00939346813106596","0.208221876905296","8617200,8618789"
"decreased protein level","decreased protein level","""decreased protein level""","24","2","8.33","0.0111282254702907","0.238718385088495","8626211,8626797"
"decreased necrotic cell death","decreased necrotic cell death","""decreased necrotic cell death""","2","1","50","0.0134195963922725","0.262471517672389","8621626"
"decreased response to lithium","decreased response to lithium","""decreased response to lithium""","2","1","50","0.0134195963922725","0.262471517672389","8617200"
"decreased thermotaxis","decreased thermotaxis","""decreased thermotaxis""","2","1","50","0.0134195963922725","0.262471517672389","8623694"
"aberrant cell migration to prestalk region","aberrant cell migration to prestalk region","""aberrant cell migration to prestalk region""","3","1","33.33","0.020063235473806","0.324434227936025","8623483"
"abolished protein binding","abolished protein binding","""abolished protein binding""","3","1","33.33","0.020063235473806","0.324434227936025","8615885"
"decreased glycogen level","decreased glycogen level","""decreased glycogen level""","3","1","33.33","0.020063235473806","0.324434227936025","8623694"
"decreased mitochondrial fission","decreased mitochondrial fission","""decreased mitochondrial fission""","3","1","33.33","0.020063235473806","0.324434227936025","8623694"
"decreased mound size","decreased mound size","""decreased mound size""","33","2","6.06","0.0204905828170121","0.324434227936025","8618358,8626211"
"decreased resistance to hydrogen peroxide","decreased resistance to hydrogen peroxide","""decreased resistance to hydrogen peroxide""","3","1","33.33","0.020063235473806","0.324434227936025","8621802"
"decreased secretion of lysosomal enzymes","decreased secretion of lysosomal enzymes","""decreased secretion of lysosomal enzymes""","3","1","33.33","0.020063235473806","0.324434227936025","8626211"
"mitotic G1 phase arrest","mitotic G1 phase arrest","""mitotic G1 phase arrest""","3","1","33.33","0.020063235473806","0.324434227936025","8629459"
"aberrant culmination","aberrant culmination","""aberrant culmination""","89","3","3.37","0.021627932276107","0.334478487525842","8626305,8628576,8628596"
"increased growth rate","increased growth rate","""increased growth rate""","35","2","5.71","0.0228959344308177","0.34604082719304","8622318,8624038"
"aberrant endosome morphology","aberrant endosome morphology","""aberrant endosome morphology""","4","1","25","0.0266631463323935","0.355251698905959","8627033"
