ddb_g,AX4L846F_avr_00h,AX4L846F_avr_04h,AX4L846F_avr_08h,AX4L846F_avr_12h,AX4L846F_avr_16h,AX4L846F_avr_20h,B1.L846F_avr_00h,B1.L846F_avr_04h,B1.L846F_avr_08h,B1.L846F_avr_12h,B1.L846F_avr_16h,B1.L846F_avr_20h,
DDB_G0267178,0.077180737,0.219643423,0.169369458,0.13809099,0.176293947,0.15774938,0.034056186,0.296572264,0.407783213,0.33094495,0.250790228,0.415965585,
DDB_G0267180,0.243642112,0.201136594,0.257710817,0.219907077,0.206879356,0.215867156,0.453925058,1.165995799,1.051630146,0.993989493,0.779555073,0.81470626,
DDB_G0267182,0.247164997,0.400464628,0.43727791,0.38925122,0.533196324,0.285846224,0.129301214,1.254073863,1.734185676,1.776909108,0.973134627,1.370866137,
DDB_G0267184,0.049504371,0.155096086,0.176003535,0.155170851,0.187045585,0.106131466,0.063628839,0.307500178,0.141061901,0.428269694,0.364355068,0.421618886,
DDB_G0267186,0.069602992,0.112634362,0.156910451,0.0454568,0,0,0,0.169012679,0.114001079,0.652220017,0.235778958,0.307626178,
DDB_G0267188,0.049796582,0.208242318,0.222823783,0.175853984,0.236164583,0.217474871,0.048055634,0.513752395,0.520300837,0.495959864,0.482520009,0.426264293,
DDB_G0267190,0,0,0,0,0,0,0,0.07084556,0,0,0,0,
DDB_G0267194,0,0.357535803,0.102282368,0.178128826,0.114884596,0.080320647,0.212834781,0.27542807,0.528286173,0.413951482,0.057706348,0.340617406,
DDB_G0267196,0,0.167351872,0.105572452,0.026883054,0.18204325,0.074442128,0.320496192,0.102730148,0.402706818,0.681627689,0.452311011,0.26488711,
DDB_G0267198,0,0,0,0,0,0,0,0,0.232612589,0,0.183081664,0,
DDB_G0267202,0.040190704,0,0.090231521,0,0.048164368,0.056920143,0,0.094820246,0.065827395,0.03542307,0,0,
DDB_G0267204,0,0.046710981,0,0.088692622,0.04497702,0.064024973,0.029571306,0,0.030735585,0.114126651,0,0,
DDB_G0267206,0.060057619,0.27511901,0.24745161,0.26644635,0.344574068,0.261873336,0.168757597,1.025335741,1.036273954,1.074086425,1.080438317,0.90107804,
DDB_G0267208,1.296486202,1.450498629,1.495567198,1.168414198,0.771560584,0.551641739,0.7070153,2.387200545,3.777437605,3.046254903,2.345278742,2.448909589,
DDB_G0267210,0.127744637,0.689142884,0.758380217,0.452278676,0.471516946,0.382763997,0.13675366,1.222205057,1.623069209,1.655449785,1.168695367,1.111407293,
DDB_G0267212,0,0,0,0,0,0,0,0.243543317,0,0,0,0.178272114,
DDB_G0267216,0,0.331708501,0.11048061,0.11282647,0.063532509,0.352563302,0.024227094,0,0.025180961,0.076728608,0,0,
DDB_G0267218,0.193885602,0.328339312,0.099715626,0.131110833,0.265472645,0.576195613,0,0.089813501,0,0.054195495,0.075269149,0.088003407,
DDB_G0267220,0.198865692,0.066019565,0.33941045,0.171562723,0.250190655,0.244304086,0.146249942,0,0,0,0,0,
DDB_G0267222,0.031901371,0.113811743,0,0.084938198,0.158634719,0.054421227,0,0.040883792,0.122581006,0,0.151042373,0.106963268,
DDB_G0267224,0,0,0.046491986,0.033671704,0.194592732,0.116995519,0.141426127,0.062597289,0,0,0,0.100545807,
DDB_G0267226,0.058669189,0,0,0.019158038,0,0.15614393,0.034240179,0.035615699,0,0.074985802,0.039596658,0.046530537,
DDB_G0267228,0,0.047305986,0,0,0,0,0,0,0.009936703,0,0,0,
DDB_G0267230,0,0,0.048886387,0,0.065304712,0,0,0,0,0,0,0,
DDB_G0267236,0.138965119,0.436617917,0.485022908,0.441397834,0.644868496,0.58373636,0.492533,2.163654525,2.944155133,2.993093926,1.912928422,2.474897772,
DDB_G0267238,0.345550204,0.651616219,0.342694629,0.402511784,0.320597127,0.386068263,0.388078877,0.928954022,1.25401111,1.671109771,1.264861796,1.20455602,
DDB_G0267240,0.055553399,0.181690619,0.166674518,0.207009796,0.291773351,0.270841439,0.090205415,0.493854239,0.502038484,0.580285423,0.565231641,0.417989705,
DDB_G0267242,0,0.097071756,0.068811228,0,0,0,0,0,0.079915089,0.139562224,0.207052676,0.020173538,
DDB_G0267244,0.103275606,0.37379396,0.505102581,0.355959796,0.493884346,0.35990291,0.082913214,0.777915168,0.532324588,0.795549423,0.858904611,0.974767423,
DDB_G0267246,0,0.137353001,0.069733563,0.181376547,0.061828063,0.115618306,0.330169614,0.536155216,0.375561603,0.703618066,0.573592186,0.345815103,
DDB_G0267248,0.054346879,0.341574615,0.730498201,0.61053943,0.550217768,0.319443464,0.009266584,0.509036061,0.669903634,0.953027799,0.835396199,0.953484856,
DDB_G0267250,0,0.120948809,0.013550657,0.040010142,0,0,0.047360522,0.036489489,0.022717745,0.044037164,0.020284058,0.012596263,
DDB_G0267252,0.464384274,0.195038908,0.057147706,0.020747917,0,0.027097706,0.087144314,0.074951273,0.024013882,0.135276403,0,0,
DDB_G0267254,0,0.015988322,0,0.03613707,0.017695296,0.057421172,0,0,0.019319334,0,0,0,
DDB_G0267258,0.046712273,0.415769804,0.455682092,0.307356605,0.551261731,0.347172716,0.045837364,0.621519135,0.705253142,1.303047898,1.033892858,0.800593791,
DDB_G0267260,0,0.155648684,0.208964177,0.593274528,0.267668336,0,0.251866416,0.701900094,0.33121891,0.471785237,0.286882662,0.38947828,
DDB_G0267262,0,0.092068021,0.126254129,0.132646821,0.06351597,0.207842427,0.063755261,0.177888312,0.370849214,0.516988704,0.40055301,0.281774087,
DDB_G0267264,0,0,0,0,0,0.116584677,0,0.139722063,0.65906152,0.08939018,0.062074557,0.392581693,
DDB_G0267270,0.066002837,0,0,0.07798834,0.079097518,0.219609175,0.093614843,0.080135322,0.414731755,0.096710927,0.089266995,0.128715969,
DDB_G0267272,0.029561116,0.225702491,0.083317612,0.182200781,0.104258243,0.02791065,0.01552779,0.143502532,0.097138653,0.114748806,0.146641529,0.156793828,
DDB_G0267274,0,0,0,0,0.040242597,0.028642751,0,0,0.01375013,0,0,0,
DDB_G0267278,0,0,0,0,0,0.041073058,0,0,0,0,0,0,
