Gene,Entrez ID,noagg_ripple,ripple_lag,lag_tag,tag_tip,tip_slug,slug_Mhat,Mhat_cul,cul_FB,merged_milestones,Regulon cluster,tgr_disagg_gene,dediff,Parikh_cell-type,Maeda_cell-type,Maeda_detailed cell-type,cAMP-pulse induced,chemotaxis,hssA/2C/7E family,57-aa protein family,sig and  sigN genes,gtaG dependent short protein,All_transcriptional regulation and chromatin organization 
string,string,noagg_ripple_down noagg_ripple_up,ripple_lag_down ripple_lag_up,lag_tag_down lag_tag_up,tag_tip_down tag_tip_up,discrete,discrete,Mhat_cul_down Mhat_cul_up,cul_FB_down cul_FB_up,Mhat_cul_down Mhat_cul_up cul_FB_down cul_FB_up lag_tag_down lag_tag_up lag_tag_upMhat_cul_down noagg_ripple_down noagg_ripple_downMhat_cul_up noagg_ripple_downcul_FB_up noagg_ripple_downlag_tag_up noagg_ripple_downslug_Mhat_up noagg_ripple_up noagg_ripple_uplag_tag_down ripple_lag_down ripple_lag_up ripple_lag_uptag_tip_down slug_Mhat_up slug_Mhat_upcul_FB_down tag_tip_down tag_tip_up tip_slug_up tip_slug_upMhat_cul_down,C1 C2 C3 C4 C5 C6 C7 C8 C9 C10 C11 C12 C13 C14 C15 C16 C17 C18 C19 C20 C21,6to8h 8to12h,discrete,Psp Pst,prespore prestalk,Late\ prestalk\ SSE634\ pattern Late\ prestalk\ SSG721\ pattern PstA PstAB\ SLA128\ pattern PstAB\ SLC388\ pattern PstAB\ SSB312\ pattern PstAB\ SSK348\ pattern PstAO\ SLE474\ pattern PstAO\ SSA854\ pattern PstAO\ SSH475\ pattern PstO\ SLG775\ pattern PstO\ SLH659\ pattern PstO\ SSM184\ pattern SLC388\ pattern prespore,discrete,discrete,highly\ similar\ to\ other\ hssA/2C/7E hssA/2C/7E\ family related\ to\ hssA weakly\ similar\ to hssA/2C/7E,small_57aa small_57aa\ like,SrfA-induced almost\ identical\ to\ sigN176 sigN\ genes,gtaG\ dependent gtaG\ dependent\ weakly,"TF\ (general,pol\ II) TF\ (general,pol\ II)\ chromatin\ modification TF\ (mediator) TF\ (pol\ I/pol\ III) TF\ (regulation) TF\ (regulation)\ \ histon\ modification TF\ (regulation)\ chromatin\ org chromatin chromatin\ centromere chromatin\ remodeling\ factor histone\ modification histone/histone\ variant"
meta,meta,,,,,,,,,,,,,,,,,,,,,,
DDB_G0268454,8616419,,,,,,,,,,,,,Pst,,,,,weakly similar to hssA/2C/7E,,,,
DDB_G0279399,8621974,,,,,,,,,,,,,,,,,,weakly similar to hssA/2C/7E,,,,
DDB_G0270306,8617667,,,,,,slug_Mhat_up,,,slug_Mhat_up,,,,,,,,,,,,,TF (regulation)
DDB_G0295787,8625638,,,,,,slug_Mhat_up,,,slug_Mhat_up,,,,,,,,,,,,,TF (regulation)
DDB_G0281969,8623335,,,,,,slug_Mhat_up,,,slug_Mhat_up,,,,,,,,,,,,,TF (regulation)
DDB_G0281829,8623259,,ripple_lag_up,,,,,,,ripple_lag_up,,,,,,,,,,,,,TF (regulation)
DDB_G0289151,8626988,,ripple_lag_up,,,,,,,ripple_lag_up,,,,,,,,,,,,,TF (regulation)
DDB_G0268368,8616180,,ripple_lag_up,,,,,,,ripple_lag_up,,,,,,,,,,,,,TF (regulation)
DDB_G0270756,8617604,,,,,,,,,,C19,,,Pst,,,,,,,,,TF (regulation)
DDB_G0281563,8623169,,,,,,,,,,C16,,,Pst,,,,,,,,,TF (regulation)
DDB_G0286351,8625634,,,,,,,,,,,,,Pst,,,,,,,,,TF (regulation)
DDB_G0278317,8621492,,,,,,slug_Mhat_up,,,slug_Mhat_up,,,,Psp,,,,,,,,,TF (regulation)
DDB_G0288975,8626897,,,,,,,,,,C15,,,Psp,,,,,,,,,TF (regulation)
DDB_G0287317,8626063,,,,,,,,,,C11,,,Psp,,,,,,,,,TF (regulation)
DDB_G0268778,8616646,,,,,,,,,,,,,Psp,,,,,,,,,TF (regulation)
DDB_G0286843,8625821,noagg_ripple_down,,,,,,,,noagg_ripple_down,,,,,,,,,,,,,TF (regulation)
DDB_G0286385,8625585,noagg_ripple_down,,,,,,,,noagg_ripple_down,,,,,,,,,,,,,TF (regulation)
DDB_G0290551,8627717,,,lag_tag_up,,,,,,lag_tag_up,,,,,,,,,,,,,TF (regulation)
DDB_G0292782,8628850,,,lag_tag_up,,,,,,lag_tag_up,,,,,,,,,,,,,TF (regulation)
DDB_G0280485,8622583,noagg_ripple_down,,,,,,,,noagg_ripple_down,,,dediff,,,,,,,,,,TF (regulation)
DDB_G0287513,8626160,noagg_ripple_down,,,,,,,,noagg_ripple_down,,8to12h,dediff,,,,,,,,,,TF (regulation)
